"section","payload_json"
"metadata","{""title"":""At the Pharmacy"",""description"":""Asking for medication and dosage.""}"
"vocabulary","{""local"": ""lek"", ""english"": ""medicine""}"
"vocabulary","{""local"": ""recept"", ""english"": ""prescription""}"
"vocabulary","{""local"": ""bol"", ""english"": ""pain""}"
"vocabulary","{""local"": ""tableta"", ""english"": ""tablet""}"
"vocabulary","{""local"": ""alergija"", ""english"": ""allergy""}"
"vocabulary","{""local"": ""apoteka"", ""english"": ""pharmacy""}"
"keySentence","{""local"": ""Imate li lek za bol u glavi?"", ""english"": ""Do you have medicine for a headache?"", ""answerLocal"": ""Da, evo aspirina."", ""answerEnglish"": ""Yes, here is aspirin.""}"
"keySentence","{""local"": ""Potreban mi je lek na recept."", ""english"": ""I need a prescription medicine."", ""answerLocal"": ""Molim va\u0161 recept."", ""answerEnglish"": ""Please show your prescription.""}"
"keySentence","{""local"": ""Imam alergiju na penicilin."", ""english"": ""I am allergic to penicillin."", ""answerLocal"": ""Razumem, prona\u0161\u0107emo alternativu."", ""answerEnglish"": ""I understand, we will find an alternative.""}"
"keySentence","{""local"": ""Koliko tableta treba da uzmem?"", ""english"": ""How many tablets should I take?"", ""answerLocal"": ""Dve tablete tri puta dnevno."", ""answerEnglish"": ""Two tablets three times a day.""}"
"keySentence","{""local"": ""Da li ovaj lek ima nuspojave?"", ""english"": ""Does this medicine have side effects?"", ""answerLocal"": ""Mo\u017ee izazvati pospanost."", ""answerEnglish"": ""It may cause drowsiness.""}"
"keySentence","{""local"": ""Gde je najbli\u017ea apoteka?"", ""english"": ""Where is the nearest pharmacy?"", ""answerLocal"": ""Na kraju ulice."", ""answerEnglish"": ""At the end of the street.""}"
"dialogue","{""speaker"": ""Pharmacist"", ""local"": ""Dobrodo\u0161li u apoteku. Mogu li vam pomo\u0107i?"", ""english"": ""Welcome to the pharmacy. Can I help you?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Da, imam jaku glavobolju. \u0160ta preporu\u010dujete?"", ""english"": ""Yes, I have a bad headache. What do you recommend?""}"
"dialogue","{""speaker"": ""Pharmacist"", ""local"": ""Ibuprofen je dobar za to. Imate li alergije?"", ""english"": ""Ibuprofen is good for that. Do you have any allergies?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Nisam alergi\u010dan ni na \u0161ta."", ""english"": ""I am not allergic to anything.""}"
"dialogue","{""speaker"": ""Pharmacist"", ""local"": ""U redu, dve tablete na \u0161est sati."", ""english"": ""Alright, two tablets every six hours.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Hvala. Koliko ko\u0161ta?"", ""english"": ""Thank you. How much does it cost?""}"
"listening","{""prompt"": ""Da li imate lek na recept?"", ""promptEnglish"": ""Do you have a prescription?"", ""options"": [{""local"": ""Da, evo recepta."", ""english"": ""Yes, here is the prescription.""}, {""local"": ""Nemam recept."", ""english"": ""I don't have a prescription.""}, {""local"": ""Nisam siguran."", ""english"": ""I'm not sure.""}], ""correct"": 0}"
"listening","{""prompt"": ""Koliko tableta da uzmem?"", ""promptEnglish"": ""How many tablets should I take?"", ""options"": [{""local"": ""Dve tri puta dnevno."", ""english"": ""Two three times a day.""}, {""local"": ""Jednu jednom."", ""english"": ""One once.""}, {""local"": ""Pet odjednom."", ""english"": ""Five at once.""}], ""correct"": 0}"
"listening","{""prompt"": ""Imam alergiju."", ""promptEnglish"": ""I have an allergy."", ""options"": [{""local"": ""Na \u0161ta ste alergi\u010dni?"", ""english"": ""What are you allergic to?""}, {""local"": ""To nije problem."", ""english"": ""That's not a problem.""}, {""local"": ""Idite kod lekara."", ""english"": ""Go to a doctor.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Zdravo! Kako mogu da vam pomognem?"", ""aiEnglish"": ""Hello! How can I help you?"", ""expected"": ""Imate li lek za bol u glavi?"", ""expectedEnglish"": ""Do you have medicine for a headache?""}"
"speakingPrompt","{""ai"": ""Kako biste rekli da imate alergiju?"", ""aiEnglish"": ""How would you say you have an allergy?"", ""expected"": ""Imam alergiju na penicilin."", ""expectedEnglish"": ""I am allergic to penicillin.""}"
"speakingPrompt","{""ai"": ""Kako biste pitali o doziranju?"", ""aiEnglish"": ""How would you ask about dosage?"", ""expected"": ""Koliko tableta treba da uzmem?"", ""expectedEnglish"": ""How many tablets should I take?""}"
"quizQuestion","{""question"": ""What does \""lek\"" mean?"", ""options"": [""allergy"", ""prescription"", ""medicine"", ""tablet""], ""correct"": 2}"
"quizQuestion","{""question"": ""Choose the best meaning for \""recept\""."", ""options"": [""medicine"", ""prescription"", ""allergy"", ""pain""], ""correct"": 1}"
"quizQuestion","{""question"": ""A correct response to \""How many tablets should I take?\"" is:"", ""options"": [""Two tablets three times a day."", ""Take all of them."", ""Ask the doctor.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'I am allergic to penicillin'?"", ""options"": [""Imam alergiju na penicilin."", ""Potreban mi je lek na recept."", ""Gde je apoteka?"", ""Koliko ko\u0161ta?""], ""correct"": 0}"
