"section","payload_json"
"metadata","{""title"":""At School"",""description"":""Introducing yourself and academics.""}"
"vocabulary","{""local"": ""u\u010dionica"", ""english"": ""classroom""}"
"vocabulary","{""local"": ""nastavnik"", ""english"": ""teacher""}"
"vocabulary","{""local"": ""doma\u0107i zadatak"", ""english"": ""homework""}"
"vocabulary","{""local"": ""ispit"", ""english"": ""exam""}"
"vocabulary","{""local"": ""ocena"", ""english"": ""grade""}"
"vocabulary","{""local"": ""raspored"", ""english"": ""schedule""}"
"keySentence","{""local"": ""Nisam razumeo lekciju."", ""english"": ""I didn't understand the lesson."", ""answerLocal"": ""Mogu da objasnim ponovo."", ""answerEnglish"": ""I can explain again.""}"
"keySentence","{""local"": ""Kada je ispit?"", ""english"": ""When is the exam?"", ""answerLocal"": ""Ispit je u petak."", ""answerEnglish"": ""The exam is on Friday.""}"
"keySentence","{""local"": ""Gde predajem doma\u0107i zadatak?"", ""english"": ""Where do I hand in the homework?"", ""answerLocal"": ""Predajte na stolu."", ""answerEnglish"": ""Hand it in on the table.""}"
"keySentence","{""local"": ""Mogu li iza\u0107i?"", ""english"": ""May I leave?"", ""answerLocal"": ""Pri\u010dekajte kraj \u010dasa."", ""answerEnglish"": ""Wait for the end of class.""}"
"keySentence","{""local"": ""Kakva je ocena?"", ""english"": ""What is the grade?"", ""answerLocal"": ""Dobili ste pet."", ""answerEnglish"": ""You got a five.""}"
"keySentence","{""local"": ""Gde je raspored?"", ""english"": ""Where is the schedule?"", ""answerLocal"": ""Raspored je na oglasnoj tabli."", ""answerEnglish"": ""The schedule is on the bulletin board.""}"
"dialogue","{""speaker"": ""Teacher"", ""local"": ""Dobro jutro. Jeste li uradili doma\u0107i zadatak?"", ""english"": ""Good morning. Did you do the homework?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Da, uradio sam."", ""english"": ""Yes, I did it.""}"
"dialogue","{""speaker"": ""Teacher"", ""local"": ""Odli\u010dno. Danas imamo novi materijal."", ""english"": ""Excellent. Today we have new material.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Izvinite, nisam razumeo. Mo\u017eete li ponoviti?"", ""english"": ""Excuse me, I didn't understand. Can you repeat?""}"
"dialogue","{""speaker"": ""Teacher"", ""local"": ""Naravno. Pogledajte tablu."", ""english"": ""Of course. Look at the board.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Hvala. Kada je slede\u0107i ispit?"", ""english"": ""Thank you. When is the next exam?""}"
"listening","{""prompt"": ""Kada je ispit?"", ""promptEnglish"": ""When is the exam?"", ""options"": [{""local"": ""U petak."", ""english"": ""On Friday.""}, {""local"": ""Sutra."", ""english"": ""Tomorrow.""}, {""local"": ""Nema ispita."", ""english"": ""There is no exam.""}], ""correct"": 0}"
"listening","{""prompt"": ""Gde predajem doma\u0107i?"", ""promptEnglish"": ""Where do I hand in the homework?"", ""options"": [{""local"": ""Na stolu."", ""english"": ""On the table.""}, {""local"": ""Kod direktora."", ""english"": ""At the principal's office.""}, {""local"": ""Po\u0161aljite mejlom."", ""english"": ""Send by email.""}], ""correct"": 0}"
"listening","{""prompt"": ""Jeste li razumeli?"", ""promptEnglish"": ""Did you understand?"", ""options"": [{""local"": ""Da, razumeo sam."", ""english"": ""Yes, I understood.""}, {""local"": ""Nisam siguran."", ""english"": ""I'm not sure.""}, {""local"": ""Pita\u0107u drugara."", ""english"": ""I'll ask a classmate.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobro jutro! Imate li pitanje?"", ""aiEnglish"": ""Good morning! Do you have a question?"", ""expected"": ""Nisam razumeo lekciju."", ""expectedEnglish"": ""I didn't understand the lesson.""}"
"speakingPrompt","{""ai"": ""Kako biste pitali za datum ispita?"", ""aiEnglish"": ""How would you ask about the exam date?"", ""expected"": ""Kada je ispit?"", ""expectedEnglish"": ""When is the exam?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili dozvolu da iza\u0111ete?"", ""aiEnglish"": ""How would you ask permission to leave?"", ""expected"": ""Mogu li iza\u0107i?"", ""expectedEnglish"": ""May I leave?""}"
"quizQuestion","{""question"": ""What does \""nastavnik\"" mean?"", ""options"": [""student"", ""teacher"", ""principal"", ""schedule""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""ispit\""."", ""options"": [""homework"", ""grade"", ""exam"", ""classroom""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to \""When is the exam?\"" is:"", ""options"": [""The exam is on Friday."", ""There are no exams."", ""Ask a classmate.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'I didn't understand the lesson'?"", ""options"": [""Nisam razumeo lekciju."", ""Gde predajem doma\u0107i zadatak?"", ""Mogu li iza\u0107i?"", ""Kakva je ocena?""], ""correct"": 0}"
