"section","payload_json"
"metadata","{""title"":""At the Grocery Store"",""description"":""Shopping for items and asking prices.""}"
"vocabulary","{""local"": ""hleb"", ""english"": ""bread""}"
"vocabulary","{""local"": ""mleko"", ""english"": ""milk""}"
"vocabulary","{""local"": ""vo\u0107e"", ""english"": ""fruit""}"
"vocabulary","{""local"": ""povr\u0107e"", ""english"": ""vegetables""}"
"vocabulary","{""local"": ""cena"", ""english"": ""price""}"
"vocabulary","{""local"": ""kesa"", ""english"": ""bag""}"
"keySentence","{""local"": ""Gde je hleb?"", ""english"": ""Where is the bread?"", ""answerLocal"": ""Hleb je u tre\u0107oj prolazu."", ""answerEnglish"": ""The bread is in the third aisle.""}"
"keySentence","{""local"": ""Koliko ko\u0161ta mleko?"", ""english"": ""How much does milk cost?"", ""answerLocal"": ""Mleko ko\u0161ta stotinu dinara."", ""answerEnglish"": ""The milk costs one hundred dinars.""}"
"keySentence","{""local"": ""Ima li sve\u017eeg vo\u0107a?"", ""english"": ""Is there fresh fruit?"", ""answerLocal"": ""Da, isporuka je stigla jutros."", ""answerEnglish"": ""Yes, the delivery arrived this morning.""}"
"keySentence","{""local"": ""Mogu li dobiti kesu?"", ""english"": ""Can I get a bag?"", ""answerLocal"": ""Da, kese su kod kase."", ""answerEnglish"": ""Yes, bags are at the register.""}"
"keySentence","{""local"": ""Imate li organsko povr\u0107e?"", ""english"": ""Do you have organic vegetables?"", ""answerLocal"": ""Da, u posebnom delu prodavnice."", ""answerEnglish"": ""Yes, in a special section of the store.""}"
"keySentence","{""local"": ""Gde mogu da platim?"", ""english"": ""Where can I pay?"", ""answerLocal"": ""Kasa je na kraju."", ""answerEnglish"": ""The register is at the end.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Dobrodo\u0161li. Mogu li vam pomo\u0107i?"", ""english"": ""Welcome. Can I help you?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Da, gde je hleb?"", ""english"": ""Yes, where is the bread?""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Hleb je u tre\u0107oj prolazu, levo."", ""english"": ""The bread is in the third aisle, on the left.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Hvala. Ima li sve\u017eeg vo\u0107a?"", ""english"": ""Thank you. Is there fresh fruit?""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Da, isporuka je stigla jutros."", ""english"": ""Yes, the delivery arrived this morning.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Odli\u010dno. Gde mogu da platim?"", ""english"": ""Excellent. Where can I pay?""}"
"listening","{""prompt"": ""Gde je hleb?"", ""promptEnglish"": ""Where is the bread?"", ""options"": [{""local"": ""U tre\u0107oj prolazu."", ""english"": ""In the third aisle.""}, {""local"": ""Nemamo hleba."", ""english"": ""We don't have bread.""}, {""local"": ""Pitajte nekoga."", ""english"": ""Ask someone.""}], ""correct"": 0}"
"listening","{""prompt"": ""Koliko ko\u0161ta mleko?"", ""promptEnglish"": ""How much does milk cost?"", ""options"": [{""local"": ""Sto dinara."", ""english"": ""One hundred dinars.""}, {""local"": ""Ne znam."", ""english"": ""I don't know.""}, {""local"": ""Besplatno."", ""english"": ""It's free.""}], ""correct"": 0}"
"listening","{""prompt"": ""Gde mogu da platim?"", ""promptEnglish"": ""Where can I pay?"", ""options"": [{""local"": ""Kasa je na kraju."", ""english"": ""The register is at the end.""}, {""local"": ""Platite napolju."", ""english"": ""Pay outside.""}, {""local"": ""Nema kase."", ""english"": ""There is no register.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobrodo\u0161li! \u0160ta tra\u017eite?"", ""aiEnglish"": ""Welcome! What are you looking for?"", ""expected"": ""Gde je hleb?"", ""expectedEnglish"": ""Where is the bread?""}"
"speakingPrompt","{""ai"": ""Kako biste pitali za cenu?"", ""aiEnglish"": ""How would you ask about the price?"", ""expected"": ""Koliko ko\u0161ta mleko?"", ""expectedEnglish"": ""How much does milk cost?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili kesu?"", ""aiEnglish"": ""How would you ask for a bag?"", ""expected"": ""Mogu li dobiti kesu?"", ""expectedEnglish"": ""Can I get a bag?""}"
"quizQuestion","{""question"": ""What does \""hleb\"" mean?"", ""options"": [""milk"", ""bread"", ""fruit"", ""price""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""mleko\""."", ""options"": [""bag"", ""bread"", ""milk"", ""vegetables""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to \""Where is the bread?\"" is:"", ""options"": [""In the third aisle."", ""We don't have bread."", ""Ask someone.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'Where can I pay?'"", ""options"": [""Gde mogu da platim?"", ""Koliko ko\u0161ta mleko?"", ""Ima li sve\u017eeg vo\u0107a?"", ""Mogu li dobiti kesu?""], ""correct"": 0}"
