"section","payload_json"
"metadata","{""title"":""At the Grocery Store"",""description"":""Shopping for items and asking prices.""}"
"vocabulary","{""local"":""молоко"",""english"":""milk""}"
"vocabulary","{""local"":""хлеб"",""english"":""bread""}"
"vocabulary","{""local"":""яблоко"",""english"":""apple""}"
"vocabulary","{""local"":""цена"",""english"":""price""}"
"vocabulary","{""local"":""кассир"",""english"":""cashier""}"
"vocabulary","{""local"":""пакет"",""english"":""bag""}"
"keySentence","{""local"":""Сколько стоит?"",""english"":""How much is it?"",""answerLocal"":""Сто рублей."",""answerEnglish"":""One hundred rubles.""}"
"keySentence","{""local"":""Я хочу хлеб."",""english"":""I want bread."",""answerLocal"":""Вот хлеб."",""answerEnglish"":""Here is bread.""}"
"keySentence","{""local"":""Где молоко?"",""english"":""Where is milk?"",""answerLocal"":""В холодильнике."",""answerEnglish"":""In the fridge.""}"
"keySentence","{""local"":""Можно пакет?"",""english"":""Can I have a bag?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Я беру это."",""english"":""I will take this."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Есть скидка?"",""english"":""Is there a discount?"",""answerLocal"":""Нет."",""answerEnglish"":""No.""}"
"dialogue","{""speaker"":""You"",""local"":""Сколько стоит молоко?"",""english"":""How much is milk?""}"
"dialogue","{""speaker"":""Staff"",""local"":""Сто рублей."",""english"":""100 rubles.""}"
"dialogue","{""speaker"":""You"",""local"":""Я беру хлеб."",""english"":""I will take bread.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Хорошо."",""english"":""Okay.""}"
"dialogue","{""speaker"":""You"",""local"":""Можно пакет?"",""english"":""Can I have a bag?""}"
"dialogue","{""speaker"":""Staff"",""local"":""Да."",""english"":""Yes.""}"
"listening","{""prompt"":""Сколько стоит?"",""promptEnglish"":""How much is it?"",""options"":[{""local"":""Сто рублей."",""english"":""100 rubles.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Я хочу хлеб."",""promptEnglish"":""I want bread."",""options"":[{""local"":""Вот хлеб."",""english"":""Here is bread.""},{""local"":""Я не знаю."",""english"":""I don't know.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Где молоко?"",""promptEnglish"":""Where is milk?"",""options"":[{""local"":""В холодильнике."",""english"":""In the fridge.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Спросите цену."",""aiEnglish"":""Ask the price."",""expected"":""Сколько стоит?"",""expectedEnglish"":""How much is it?""}"
"speakingPrompt","{""ai"":""Скажите, что хотите хлеб."",""aiEnglish"":""Say you want bread."",""expected"":""Я хочу хлеб."",""expectedEnglish"":""I want bread.""}"
"speakingPrompt","{""ai"":""Спросите про молоко."",""aiEnglish"":""Ask about milk."",""expected"":""Где молоко?"",""expectedEnglish"":""Where is milk?""}"
"quizQuestion","{""question"":""What does \""кассир\"" mean?"",""options"":[""cashier"",""milk"",""bread"",""price""],""correct"":0}"
"quizQuestion","{""question"":""What is \""цена\""?"",""options"":[""price"",""apple"",""bag"",""store""],""correct"":0}"
"quizQuestion","{""question"":""Where do you buy food?"",""options"":[""в магазине"",""в школе"",""в банке"",""в аптеке""],""correct"":0}"
"quizQuestion","{""question"":""Correct phrase for buying bread?"",""options"":[""Я хочу хлеб."",""Я хочу билет."",""Я хочу паспорт."",""Я хочу ключ.""],""correct"":0}"
