"section","payload_json"
"metadata","{""title"":""At the Bus Stop"",""description"":""Asking for directions.""}"
"vocabulary","{""local"": ""autobus"", ""english"": ""bus""}"
"vocabulary","{""local"": ""stanica"", ""english"": ""stop""}"
"vocabulary","{""local"": ""vozni red"", ""english"": ""schedule""}"
"vocabulary","{""local"": ""karta"", ""english"": ""ticket""}"
"vocabulary","{""local"": ""linija"", ""english"": ""line/route""}"
"vocabulary","{""local"": ""slede\u0107i"", ""english"": ""next""}"
"keySentence","{""local"": ""Kada dolazi slede\u0107i autobus?"", ""english"": ""When does the next bus arrive?"", ""answerLocal"": ""Slede\u0107i autobus dolazi za deset minuta."", ""answerEnglish"": ""The next bus arrives in ten minutes.""}"
"keySentence","{""local"": ""Koja linija ide do centra?"", ""english"": ""Which line goes to the center?"", ""answerLocal"": ""Linija pet ide do centra."", ""answerEnglish"": ""Line five goes to the center.""}"
"keySentence","{""local"": ""Gde mogu kupiti kartu?"", ""english"": ""Where can I buy a ticket?"", ""answerLocal"": ""Karte se kupuju kod voza\u010da."", ""answerEnglish"": ""Tickets are bought from the driver.""}"
"keySentence","{""local"": ""Da li ovaj autobus staje na trgu?"", ""english"": ""Does this bus stop at the square?"", ""answerLocal"": ""Da, staje na trgu."", ""answerEnglish"": ""Yes, it stops at the square.""}"
"keySentence","{""local"": ""Koliko ko\u0161ta karta?"", ""english"": ""How much does a ticket cost?"", ""answerLocal"": ""Karta ko\u0161ta osamdeset dinara."", ""answerEnglish"": ""A ticket costs eighty dinars.""}"
"keySentence","{""local"": ""Gde je stanica za liniju tri?"", ""english"": ""Where is the stop for line three?"", ""answerLocal"": ""Stanica je sto metara odavde."", ""answerEnglish"": ""The stop is one hundred meters from here.""}"
"dialogue","{""speaker"": ""Stranger"", ""local"": ""Izvinite, znate li kada dolazi autobus?"", ""english"": ""Excuse me, do you know when the bus arrives?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Vozni red ka\u017ee za deset minuta."", ""english"": ""The schedule says in ten minutes.""}"
"dialogue","{""speaker"": ""Stranger"", ""local"": ""Hvala. Koja linija ide do bolnice?"", ""english"": ""Thank you. Which line goes to the hospital?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Linija sedam ide do bolnice."", ""english"": ""Line seven goes to the hospital.""}"
"dialogue","{""speaker"": ""Stranger"", ""local"": ""Odakle se kupuje karta?"", ""english"": ""Where is a ticket bought?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Kod voza\u010da, pri ulasku."", ""english"": ""From the driver, upon entering.""}"
"listening","{""prompt"": ""Kada dolazi slede\u0107i autobus?"", ""promptEnglish"": ""When does the next bus arrive?"", ""options"": [{""local"": ""Za deset minuta."", ""english"": ""In ten minutes.""}, {""local"": ""Sutra ujutru."", ""english"": ""Tomorrow morning.""}, {""local"": ""Ne znam."", ""english"": ""I don't know.""}], ""correct"": 0}"
"listening","{""prompt"": ""Koliko ko\u0161ta karta?"", ""promptEnglish"": ""How much does a ticket cost?"", ""options"": [{""local"": ""Osamdeset dinara."", ""english"": ""Eighty dinars.""}, {""local"": ""Besplatno."", ""english"": ""It's free.""}, {""local"": ""Sto pedeset."", ""english"": ""One hundred fifty.""}], ""correct"": 0}"
"listening","{""prompt"": ""Koja linija ide do centra?"", ""promptEnglish"": ""Which line goes to the center?"", ""options"": [{""local"": ""Linija pet."", ""english"": ""Line five.""}, {""local"": ""Nijedna."", ""english"": ""None.""}, {""local"": ""Pitajte voza\u010da."", ""english"": ""Ask the driver.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Zdravo! Mo\u017eete li mi pomo\u0107i sa autobusima?"", ""aiEnglish"": ""Hello! Can you help me with buses?"", ""expected"": ""Kada dolazi slede\u0107i autobus?"", ""expectedEnglish"": ""When does the next bus arrive?""}"
"speakingPrompt","{""ai"": ""Kako biste pitali koja linija ide do centra?"", ""aiEnglish"": ""How would you ask which line goes to the center?"", ""expected"": ""Koja linija ide do centra?"", ""expectedEnglish"": ""Which line goes to the center?""}"
"speakingPrompt","{""ai"": ""Kako biste pitali za cenu karte?"", ""aiEnglish"": ""How would you ask about the ticket price?"", ""expected"": ""Koliko ko\u0161ta karta?"", ""expectedEnglish"": ""How much does a ticket cost?""}"
"quizQuestion","{""question"": ""What does \""autobus\"" mean?"", ""options"": [""train"", ""bus"", ""ticket"", ""stop""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""vozni red\""."", ""options"": [""line"", ""ticket"", ""schedule"", ""next""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to \""When does the next bus arrive?\"" is:"", ""options"": [""In ten minutes."", ""Tomorrow morning."", ""I don't know.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase asks about the ticket price?"", ""options"": [""Koliko ko\u0161ta karta?"", ""Koja linija ide do centra?"", ""Gde je stanica?"", ""Da li ovaj autobus staje na trgu?""], ""correct"": 0}"
