"section","payload_json"
"metadata","{""title"":""At a Friend's House"",""description"":""Small talk and socializing.""}"
"vocabulary","{""local"": ""doma\u0107in"", ""english"": ""host""}"
"vocabulary","{""local"": ""gost"", ""english"": ""guest""}"
"vocabulary","{""local"": ""ve\u010dera"", ""english"": ""dinner""}"
"vocabulary","{""local"": ""igra"", ""english"": ""game""}"
"vocabulary","{""local"": ""muzika"", ""english"": ""music""}"
"vocabulary","{""local"": ""udoban"", ""english"": ""comfortable""}"
"keySentence","{""local"": ""Hvala na pozivu."", ""english"": ""Thank you for the invitation."", ""answerLocal"": ""Drago mi je \u0161to si do\u0161ao."", ""answerEnglish"": ""I'm glad you came.""}"
"keySentence","{""local"": ""Ve\u010dera je bila odli\u010dna."", ""english"": ""The dinner was excellent."", ""answerLocal"": ""Drago mi je \u0161to ti se svidelo."", ""answerEnglish"": ""I'm glad you liked it.""}"
"keySentence","{""local"": ""Mogu li vam pomo\u0107i?"", ""english"": ""Can I help you?"", ""answerLocal"": ""Ne, sve je spremo."", ""answerEnglish"": ""No, everything is ready.""}"
"keySentence","{""local"": ""Gde mogu da ostavim kaput?"", ""english"": ""Where can I leave my coat?"", ""answerLocal"": ""Ostavi u predsoblje."", ""answerEnglish"": ""Leave it in the hallway.""}"
"keySentence","{""local"": ""Da li slu\u0161a\u0161 ovu muziku?"", ""english"": ""Do you listen to this music?"", ""answerLocal"": ""Da, jako mi se svi\u0111a."", ""answerEnglish"": ""Yes, I really like it.""}"
"keySentence","{""local"": ""Kada treba da odem?"", ""english"": ""When should I leave?"", ""answerLocal"": ""Ostani koliko \u017eeli\u0161."", ""answerEnglish"": ""Stay as long as you like.""}"
"dialogue","{""speaker"": ""Friend"", ""local"": ""Zdravo! U\u0161ao kao kod ku\u0107e!"", ""english"": ""Hello! Come in, make yourself at home!""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Hvala na pozivu. Doneo sam ne\u0161to."", ""english"": ""Thank you for the invitation. I brought something.""}"
"dialogue","{""speaker"": ""Friend"", ""local"": ""Oh, nisi morao! Hvala."", ""english"": ""Oh, you didn't have to! Thank you.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Ve\u010dera miri\u0161e divno. \u0160ta si kuvao?"", ""english"": ""Dinner smells wonderful. What did you cook?""}"
"dialogue","{""speaker"": ""Friend"", ""local"": ""Sarma. Nadam se da je voli\u0161."", ""english"": ""Sarma. I hope you like it.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Obo\u017eavam sarmu! Mogu li pomo\u0107i?"", ""english"": ""I love sarma! Can I help?""}"
"listening","{""prompt"": ""Kako ti se svi\u0111a ve\u010dera?"", ""promptEnglish"": ""How do you like dinner?"", ""options"": [{""local"": ""Odli\u010dna je."", ""english"": ""It's excellent.""}, {""local"": ""Nije lo\u0161e."", ""english"": ""Not bad.""}, {""local"": ""Ne jedem to."", ""english"": ""I don't eat that.""}], ""correct"": 0}"
"listening","{""prompt"": ""Gde da ostavim kaput?"", ""promptEnglish"": ""Where should I leave my coat?"", ""options"": [{""local"": ""U predsoblje."", ""english"": ""In the hallway.""}, {""local"": ""Baci ga."", ""english"": ""Throw it away.""}, {""local"": ""Nosi ga."", ""english"": ""Keep it on.""}], ""correct"": 0}"
"listening","{""prompt"": ""Kada treba da odemo?"", ""promptEnglish"": ""When should we leave?"", ""options"": [{""local"": ""Ostanite koliko \u017eelite."", ""english"": ""Stay as long as you like.""}, {""local"": ""Odmah."", ""english"": ""Right now.""}, {""local"": ""Bili ste tu dugo."", ""english"": ""You've been here long.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobrodo\u0161ao! Kako si?"", ""aiEnglish"": ""Welcome! How are you?"", ""expected"": ""Hvala na pozivu."", ""expectedEnglish"": ""Thank you for the invitation.""}"
"speakingPrompt","{""ai"": ""Kako biste pohvalili ve\u010deru?"", ""aiEnglish"": ""How would you compliment the dinner?"", ""expected"": ""Ve\u010dera je bila odli\u010dna."", ""expectedEnglish"": ""The dinner was excellent.""}"
"speakingPrompt","{""ai"": ""Kako biste ponudili pomo\u0107?"", ""aiEnglish"": ""How would you offer help?"", ""expected"": ""Mogu li vam pomo\u0107i?"", ""expectedEnglish"": ""Can I help you?""}"
"quizQuestion","{""question"": ""What does \""doma\u0107in\"" mean?"", ""options"": [""guest"", ""host"", ""dinner"", ""music""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""gost\""."", ""options"": [""host"", ""game"", ""guest"", ""comfortable""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to 'Thank you for the invitation' is:"", ""options"": [""I'm glad you came."", ""You're late."", ""Goodbye.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'The dinner was excellent'?"", ""options"": [""Ve\u010dera je bila odli\u010dna."", ""Mogu li vam pomo\u0107i?"", ""Hvala na pozivu."", ""Kada treba da odem?""], ""correct"": 0}"
