"section","payload_json"
"metadata","{""title"":""At the Bank"",""description"":""Transactions, currency, and accounts.""}"
"vocabulary","{""local"": ""ra\u010dun"", ""english"": ""account""}"
"vocabulary","{""local"": ""uplata"", ""english"": ""deposit""}"
"vocabulary","{""local"": ""isplata"", ""english"": ""withdrawal""}"
"vocabulary","{""local"": ""menja\u010dnica"", ""english"": ""currency exchange""}"
"vocabulary","{""local"": ""kamata"", ""english"": ""interest""}"
"vocabulary","{""local"": ""kreditna kartica"", ""english"": ""credit card""}"
"keySentence","{""local"": ""\u017delim da otvorim ra\u010dun."", ""english"": ""I want to open an account."", ""answerLocal"": ""Potrebna je li\u010dna karta."", ""answerEnglish"": ""An ID card is needed.""}"
"keySentence","{""local"": ""Mogu li podi\u0107i novac?"", ""english"": ""Can I withdraw money?"", ""answerLocal"": ""Koliko \u017eelite da podignete?"", ""answerEnglish"": ""How much do you want to withdraw?""}"
"keySentence","{""local"": ""Gde je menja\u010dnica?"", ""english"": ""Where is the currency exchange?"", ""answerLocal"": ""Menja\u010dnica je na ulazu."", ""answerEnglish"": ""The currency exchange is at the entrance.""}"
"keySentence","{""local"": ""Kakav je kurs evra?"", ""english"": ""What is the euro exchange rate?"", ""answerLocal"": ""Kurs je sto sedamdeset dinara."", ""answerEnglish"": ""The rate is one hundred seventy dinars.""}"
"keySentence","{""local"": ""Izgubio sam kreditnu karticu."", ""english"": ""I lost my credit card."", ""answerLocal"": ""Odmah \u0107emo je blokirati."", ""answerEnglish"": ""We will block it immediately.""}"
"keySentence","{""local"": ""Kolika je kamata na kredit?"", ""english"": ""What is the interest rate on the loan?"", ""answerLocal"": ""Kamata je pet posto godi\u0161nje."", ""answerEnglish"": ""The interest is five percent per year.""}"
"dialogue","{""speaker"": ""Teller"", ""local"": ""Dobrodo\u0161li. Kako mogu da vam pomognem?"", ""english"": ""Welcome. How can I help you?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""\u017delim da podnesem uplatu."", ""english"": ""I want to make a deposit.""}"
"dialogue","{""speaker"": ""Teller"", ""local"": ""Na koji ra\u010dun?"", ""english"": ""To which account?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Na moj teku\u0107i ra\u010dun."", ""english"": ""To my checking account.""}"
"dialogue","{""speaker"": ""Teller"", ""local"": ""Koliko upla\u0107ujete?"", ""english"": ""How much are you depositing?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Pet hiljada dinara. I interesuje me kurs evra."", ""english"": ""Five thousand dinars. And I'm interested in the euro rate.""}"
"listening","{""prompt"": ""\u0160ta vam treba?"", ""promptEnglish"": ""What do you need?"", ""options"": [{""local"": ""\u017delim da otvorim ra\u010dun."", ""english"": ""I want to open an account.""}, {""local"": ""Samo prolazim."", ""english"": ""Just passing by.""}, {""local"": ""Ni\u0161ta."", ""english"": ""Nothing.""}], ""correct"": 0}"
"listening","{""prompt"": ""Izgubili ste karticu?"", ""promptEnglish"": ""You lost your card?"", ""options"": [{""local"": ""Da, odmah blokirajte."", ""english"": ""Yes, block it immediately.""}, {""local"": ""Ne, na\u0111oh je."", ""english"": ""No, I found it.""}, {""local"": ""Nije moja."", ""english"": ""It's not mine.""}], ""correct"": 0}"
"listening","{""prompt"": ""Kakav je kurs?"", ""promptEnglish"": ""What is the exchange rate?"", ""options"": [{""local"": ""Sto sedamdeset."", ""english"": ""One hundred seventy.""}, {""local"": ""Ne znamo."", ""english"": ""We don't know.""}, {""local"": ""Promenljivo."", ""english"": ""It varies.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobrodo\u0161li u banku. \u0160ta vam treba?"", ""aiEnglish"": ""Welcome to the bank. What do you need?"", ""expected"": ""\u017delim da otvorim ra\u010dun."", ""expectedEnglish"": ""I want to open an account.""}"
"speakingPrompt","{""ai"": ""Kako biste pitali za kurs?"", ""aiEnglish"": ""How would you ask about the exchange rate?"", ""expected"": ""Kakav je kurs evra?"", ""expectedEnglish"": ""What is the euro exchange rate?""}"
"speakingPrompt","{""ai"": ""Kako biste prijavili izgubljenu karticu?"", ""aiEnglish"": ""How would you report a lost card?"", ""expected"": ""Izgubio sam kreditnu karticu."", ""expectedEnglish"": ""I lost my credit card.""}"
"quizQuestion","{""question"": ""What does \""ra\u010dun\"" mean?"", ""options"": [""deposit"", ""account"", ""interest"", ""withdrawal""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""isplata\""."", ""options"": [""deposit"", ""interest"", ""withdrawal"", ""account""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to 'I lost my credit card' is:"", ""options"": [""We will block it immediately."", ""That's your problem."", ""Come tomorrow.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'I want to open an account'?"", ""options"": [""\u017delim da otvorim ra\u010dun."", ""Mogu li podi\u0107i novac?"", ""Kakav je kurs evra?"", ""Kolika je kamata?""], ""correct"": 0}"
