"section","payload_json"
"metadata","{""title"": ""The Serbian Cyrillic Alphabet"", ""description"": ""Learn to read and write the Serbian Cyrillic script.""}"
"vocabulary","{""local"": ""\u0410 \u0430"", ""english"": ""A a (as in 'car')""}"
"vocabulary","{""local"": ""\u0411 \u0431"", ""english"": ""B b (as in 'book')""}"
"vocabulary","{""local"": ""\u0412 \u0432"", ""english"": ""V v (as in 'voice')""}"
"vocabulary","{""local"": ""\u0413 \u0433"", ""english"": ""G g (as in 'go')""}"
"vocabulary","{""local"": ""\u0414 \u0434"", ""english"": ""D d (as in 'dog')""}"
"vocabulary","{""local"": ""\u0402 \u0452"", ""english"": ""\u0110 \u0111 (soft 'dj', like 'due')""}"
"vocabulary","{""local"": ""\u0415 \u0435"", ""english"": ""E e (as in 'bed')""}"
"vocabulary","{""local"": ""\u0416 \u0436"", ""english"": ""\u017d \u017e (as in 'measure')""}"
"vocabulary","{""local"": ""\u0417 \u0437"", ""english"": ""Z z (as in 'zero')""}"
"vocabulary","{""local"": ""\u0418 \u0438"", ""english"": ""I i (as in 'see')""}"
"vocabulary","{""local"": ""\u0408 \u0458"", ""english"": ""J j (as in 'yes')""}"
"vocabulary","{""local"": ""\u041a \u043a"", ""english"": ""K k (as in 'key')""}"
"vocabulary","{""local"": ""\u041b \u043b"", ""english"": ""L l (as in 'love')""}"
"vocabulary","{""local"": ""\u0409 \u0459"", ""english"": ""Lj lj (soft 'ly', like 'million')""}"
"vocabulary","{""local"": ""\u041c \u043c"", ""english"": ""M m (as in 'mother')""}"
"vocabulary","{""local"": ""\u041d \u043d"", ""english"": ""N n (as in 'name')""}"
"vocabulary","{""local"": ""\u040a \u045a"", ""english"": ""Nj nj (soft 'ny', like 'canyon')""}"
"vocabulary","{""local"": ""\u041e \u043e"", ""english"": ""O o (as in 'more')""}"
"vocabulary","{""local"": ""\u041f \u043f"", ""english"": ""P p (as in 'pet')""}"
"vocabulary","{""local"": ""\u0420 \u0440"", ""english"": ""R r (rolled, as in Spanish)""}"
"vocabulary","{""local"": ""\u0421 \u0441"", ""english"": ""S s (as in 'sun')""}"
"vocabulary","{""local"": ""\u0422 \u0442"", ""english"": ""T t (as in 'top')""}"
"vocabulary","{""local"": ""\u040b \u045b"", ""english"": ""\u0106 \u0107 (soft 'ch', like 'cheese')""}"
"vocabulary","{""local"": ""\u0423 \u0443"", ""english"": ""U u (as in 'moon')""}"
"vocabulary","{""local"": ""\u0424 \u0444"", ""english"": ""F f (as in 'fish')""}"
"vocabulary","{""local"": ""\u0425 \u0445"", ""english"": ""H h (as in 'hat')""}"
"vocabulary","{""local"": ""\u0426 \u0446"", ""english"": ""C c (as in 'cats')""}"
"vocabulary","{""local"": ""\u0427 \u0447"", ""english"": ""\u010c \u010d (as in 'chair')""}"
"vocabulary","{""local"": ""\u040f \u045f"", ""english"": ""D\u017e d\u017e (as in 'judge')""}"
"vocabulary","{""local"": ""\u0428 \u0448"", ""english"": ""\u0160 \u0161 (as in 'shoe')""}"
"keySentence","{""local"": ""\u041e\u0432\u043e \u0458\u0435 \u0441\u043b\u043e\u0432\u043e \u0410."", ""english"": ""This is the letter A."", ""answerLocal"": ""\u0414\u0430, \u0410 \u0441\u0435 \u0447\u0438\u0442\u0430 \u043a\u0430\u043e '\u0430' \u0443 \u0440\u0435\u0447\u0438 '\u0430\u0432\u0438\u043e\u043d'."", ""answerEnglish"": ""Yes, A is read like 'a' in the word 'avion' (airplane).""}"
"keySentence","{""local"": ""Kako se \u010dita \u0428?"", ""english"": ""How is \u0160 read?"", ""answerLocal"": ""\u0428 \u0441\u0435 \u0447\u0438\u0442\u0430 \u043a\u0430\u043e '\u0448' \u0443 \u0440\u0435\u0447\u0438 '\u0448\u043a\u043e\u043b\u0430'."", ""answerEnglish"": ""\u0160 is read like 'sh' in the word '\u0161kola' (school).""}"
"keySentence","{""local"": ""\u0428\u0442\u0430 \u0437\u043d\u0430\u0447\u0438 \u043e\u0432\u043e \u0441\u043b\u043e\u0432\u043e?"", ""english"": ""What does this letter mean?"", ""answerLocal"": ""\u0422\u043e \u0458\u0435 \u0441\u043b\u043e\u0432\u043e \u0409, \u0437\u0432\u0443\u0447\u0438 \u043a\u0430\u043e '\u0459' \u0443 \u0440\u0435\u0447\u0438 '\u0459\u0443\u0431\u0430\u0432'."", ""answerEnglish"": ""That is the letter Lj, it sounds like 'lj' in the word 'ljubav' (love).""}"
"keySentence","{""local"": ""\u041c\u043e\u0436\u0435\u0442\u0435 \u043b\u0438 \u043d\u0430\u043f\u0438\u0441\u0430\u0442\u0438 \u0441\u0432\u043e\u0458\u0435 \u0438\u043c\u0435 \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u043e\u043c?"", ""english"": ""Can you write your name in Cyrillic?"", ""answerLocal"": ""\u0414\u0430, \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u0430 \u0458\u0435 \u0444\u043e\u043d\u0435\u0442\u0441\u043a\u0430 \u0430\u0437\u0431\u0443\u043a\u0430."", ""answerEnglish"": ""Yes, Cyrillic is a phonetic alphabet.""}"
"keySentence","{""local"": ""\u041a\u043e\u043b\u0438\u043a\u043e \u0441\u043b\u043e\u0432\u0430 \u0438\u043c\u0430 \u0441\u0440\u043f\u0441\u043a\u0430 \u0430\u0437\u0431\u0443\u043a\u0430?"", ""english"": ""How many letters does the Serbian alphabet have?"", ""answerLocal"": ""\u0421\u0440\u043f\u0441\u043a\u0430 \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u0430 \u0438\u043c\u0430 \u0442\u0440\u0438\u0434\u0435\u0441\u0435\u0442 \u0441\u043b\u043e\u0432\u0430."", ""answerEnglish"": ""The Serbian Cyrillic alphabet has thirty letters.""}"
"keySentence","{""local"": ""\u041a\u043e\u0458\u0435 \u0441\u043b\u043e\u0432\u043e \u0437\u0432\u0443\u0447\u0438 \u043a\u0430\u043e '\u0447'?"", ""english"": ""Which letter sounds like 'ch'?"", ""answerLocal"": ""\u0421\u043b\u043e\u0432\u043e \u0427 \u0437\u0432\u0443\u0447\u0438 \u043a\u0430\u043e '\u0447' \u0443 \u0440\u0435\u0447\u0438 '\u0447\u043e\u0432\u0435\u043a'."", ""answerEnglish"": ""The letter \u010c sounds like 'ch' in the word '\u010dovek' (person).""}"
"dialogue","{""speaker"": ""Teacher"", ""local"": ""\u0414\u043e\u0431\u0440\u043e\u0434\u043e\u0448\u043b\u0438 \u043d\u0430 \u0447\u0430\u0441 \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u0435. \u0414\u0430\u043d\u0430\u0441 \u0443\u0447\u0438\u043c\u043e \u0430\u0437\u0431\u0443\u043a\u0443."", ""english"": ""Welcome to the Cyrillic class. Today we are learning the alphabet.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""\u041a\u043e\u043b\u0438\u043a\u043e \u0441\u043b\u043e\u0432\u0430 \u0442\u0440\u0435\u0431\u0430 \u0434\u0430 \u043d\u0430\u0443\u0447\u0438\u043c?"", ""english"": ""How many letters do I need to learn?""}"
"dialogue","{""speaker"": ""Teacher"", ""local"": ""\u0422\u0440\u0438\u0434\u0435\u0441\u0435\u0442 \u0441\u043b\u043e\u0432\u0430, \u0430\u043b\u0438 \u0441\u0443 \u043b\u0430\u043a\u0430 \u0437\u0430 \u0447\u0438\u0442\u0430\u045a\u0435."", ""english"": ""Thirty letters, but they are easy to read.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""\u0414\u0430 \u043b\u0438 \u0441\u0432\u0430\u043a\u043e \u0441\u043b\u043e\u0432\u043e \u0438\u043c\u0430 \u0458\u0435\u0434\u0430\u043d \u0437\u0432\u0443\u043a?"", ""english"": ""Does every letter have one sound?""}"
"dialogue","{""speaker"": ""Teacher"", ""local"": ""\u0414\u0430! \u040b\u0438\u0440\u0438\u043b\u0438\u0446\u0430 \u0458\u0435 \u043f\u043e\u0442\u043f\u0443\u043d\u043e \u0444\u043e\u043d\u0435\u0442\u0441\u043a\u0430."", ""english"": ""Yes! Cyrillic is completely phonetic.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""\u0422\u043e \u0458\u0435 \u043e\u0434\u043b\u0438\u0447\u043d\u043e. \u041f\u043e\u0447\u043d\u0438\u043c\u043e!"", ""english"": ""That's great. Let's start!""}"
"listening","{""prompt"": ""\u041a\u043e\u0458\u0435 \u0441\u043b\u043e\u0432\u043e \u0458\u0435 \u043e\u0432\u043e: \u0410?"", ""promptEnglish"": ""Which letter is this: \u0410?"", ""options"": [{""local"": ""\u0421\u043b\u043e\u0432\u043e \u0410, \u0437\u0432\u0443\u0447\u0438 \u043a\u0430\u043e '\u0430'."", ""english"": ""The letter A, sounds like 'a'.""}, {""local"": ""\u0421\u043b\u043e\u0432\u043e \u041e."", ""english"": ""The letter O.""}, {""local"": ""\u0421\u043b\u043e\u0432\u043e \u0418."", ""english"": ""The letter I.""}], ""correct"": 0}"
"listening","{""prompt"": ""Kako se \u010dita \u0428?"", ""promptEnglish"": ""How is \u0160 read?"", ""options"": [{""local"": ""\u041a\u0430\u043e '\u0448' \u0443 '\u0448\u043a\u043e\u043b\u0430'."", ""english"": ""Like 'sh' in '\u0161kola'.""}, {""local"": ""\u041a\u0430\u043e '\u0441'."", ""english"": ""Like 's'.""}, {""local"": ""\u041a\u0430\u043e '\u0437'."", ""english"": ""Like 'z'.""}], ""correct"": 0}"
"listening","{""prompt"": ""\u041a\u043e\u043b\u0438\u043a\u043e \u0441\u043b\u043e\u0432\u0430 \u0438\u043c\u0430 \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u0430?"", ""promptEnglish"": ""How many letters does Cyrillic have?"", ""options"": [{""local"": ""\u0422\u0440\u0438\u0434\u0435\u0441\u0435\u0442 \u0441\u043b\u043e\u0432\u0430."", ""english"": ""Thirty letters.""}, {""local"": ""\u0414\u0432\u0430\u0434\u0435\u0441\u0435\u0442 \u0448\u0435\u0441\u0442."", ""english"": ""Twenty-six.""}, {""local"": ""\u0422\u0440\u0438\u0434\u0435\u0441\u0435\u0442 \u0442\u0440\u0438."", ""english"": ""Thirty-three.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""\u0417\u0434\u0440\u0430\u0432\u043e! \u0417\u043d\u0430\u0442\u0435 \u043b\u0438 \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u0443?"", ""aiEnglish"": ""Hello! Do you know Cyrillic?"", ""expected"": ""\u0423\u0447\u0438\u043c \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u0443."", ""expectedEnglish"": ""I am learning Cyrillic.""}"
"speakingPrompt","{""ai"": ""\u041a\u043e\u0458\u0435 \u0441\u043b\u043e\u0432\u043e \u0437\u0432\u0443\u0447\u0438 \u043a\u0430\u043e '\u0448'?"", ""aiEnglish"": ""Which letter sounds like 'sh'?"", ""expected"": ""\u0421\u043b\u043e\u0432\u043e \u0428 \u0437\u0432\u0443\u0447\u0438 \u043a\u0430\u043e '\u0448'."", ""expectedEnglish"": ""The letter \u0160 sounds like 'sh'.""}"
"speakingPrompt","{""ai"": ""\u041a\u043e\u043b\u0438\u043a\u043e \u0441\u043b\u043e\u0432\u0430 \u0438\u043c\u0430 \u0441\u0440\u043f\u0441\u043a\u0430 \u0430\u0437\u0431\u0443\u043a\u0430?"", ""aiEnglish"": ""How many letters does the Serbian alphabet have?"", ""expected"": ""\u0421\u0440\u043f\u0441\u043a\u0430 \u045b\u0438\u0440\u0438\u043b\u0438\u0446\u0430 \u0438\u043c\u0430 \u0442\u0440\u0438\u0434\u0435\u0441\u0435\u0442 \u0441\u043b\u043e\u0432\u0430."", ""expectedEnglish"": ""The Serbian Cyrillic alphabet has thirty letters.""}"
"quizQuestion","{""question"": ""Which Cyrillic letter makes the 'sh' sound (as in 'shoe')?"", ""options"": [""\u0421"", ""\u0428"", ""\u0416"", ""\u0427""], ""correct"": 1}"
"quizQuestion","{""question"": ""What sound does the letter \u0416 make?"", ""options"": [""z as in zero"", ""zh as in measure"", ""j as in yes"", ""sh as in shoe""], ""correct"": 1}"
"quizQuestion","{""question"": ""How many letters are in the Serbian Cyrillic alphabet?"", ""options"": [""26"", ""28"", ""30"", ""33""], ""correct"": 2}"
"quizQuestion","{""question"": ""Which letter represents the 'lj' sound (as in 'million')?"", ""options"": [""\u041b"", ""\u0408"", ""\u0409"", ""\u040a""], ""correct"": 2}"
"quizQuestion","{""question"": ""What is true about Serbian Cyrillic?"", ""options"": [""It has silent letters."", ""Each letter has one sound."", ""Some letters share sounds."", ""It has 26 letters.""], ""correct"": 1}"
"quizQuestion","{""question"": ""Which letter makes the 'ch' sound (as in 'chair')?"", ""options"": [""\u040b"", ""\u0426"", ""\u040f"", ""\u0427""], ""correct"": 3}"
"quizQuestion","{""question"": ""What sound does \u0426 make?"", ""options"": [""ch as in chair"", ""ts as in cats"", ""sh as in shoe"", ""j as in judge""], ""correct"": 1}"
