"section","payload_json"
"metadata","{""title"":""At a Café"",""description"":""Ordering drinks and snacks.""}"
"vocabulary","{""local"":""кофе"",""english"":""coffee""}"
"vocabulary","{""local"":""чай"",""english"":""tea""}"
"vocabulary","{""local"":""вода"",""english"":""water""}"
"vocabulary","{""local"":""меню"",""english"":""menu""}"
"vocabulary","{""local"":""заказ"",""english"":""order""}"
"vocabulary","{""local"":""счёт"",""english"":""bill""}"
"keySentence","{""local"":""Можно меню?"",""english"":""Can I have the menu?"",""answerLocal"":""Вот меню."",""answerEnglish"":""Here is the menu.""}"
"keySentence","{""local"":""Я хочу кофе."",""english"":""I want coffee."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Можно счёт?"",""english"":""Can I have the bill?"",""answerLocal"":""Сейчас принесу."",""answerEnglish"":""I will bring it now.""}"
"keySentence","{""local"":""У вас есть вода?"",""english"":""Do you have water?"",""answerLocal"":""Да, есть."",""answerEnglish"":""Yes, we do.""}"
"keySentence","{""local"":""Я готов заказать."",""english"":""I am ready to order."",""answerLocal"":""Слушаю."",""answerEnglish"":""I am listening.""}"
"keySentence","{""local"":""Что вы рекомендуете?"",""english"":""What do you recommend?"",""answerLocal"":""Кофе."",""answerEnglish"":""Coffee.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Здравствуйте!"",""english"":""Hello!""}"
"dialogue","{""speaker"":""You"",""local"":""Можно меню?"",""english"":""Can I have the menu?""}"
"dialogue","{""speaker"":""Staff"",""local"":""Конечно."",""english"":""Of course.""}"
"dialogue","{""speaker"":""You"",""local"":""Я хочу чай."",""english"":""I want tea.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Хорошо."",""english"":""Okay.""}"
"dialogue","{""speaker"":""You"",""local"":""Можно счёт?"",""english"":""Can I have the bill?""}"
"listening","{""prompt"":""Я хочу кофе."",""promptEnglish"":""I want coffee."",""options"":[{""local"":""Хорошо."",""english"":""Okay.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Можно меню?"",""promptEnglish"":""Can I have the menu?"",""options"":[{""local"":""Вот меню."",""english"":""Here is the menu.""},{""local"":""Я не знаю."",""english"":""I don't know.""},{""local"":""Нет."",""english"":""No.""}],""correct"":0}"
"listening","{""prompt"":""Можно счёт?"",""promptEnglish"":""Can I have the bill?"",""options"":[{""local"":""Сейчас принесу."",""english"":""I will bring it now.""},{""local"":""Позже."",""english"":""Later."""},{""local"":""Нет."",""english"":""No.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что хотите кофе."",""aiEnglish"":""Say you want coffee."",""expected"":""Я хочу кофе."",""expectedEnglish"":""I want coffee.""}"
"speakingPrompt","{""ai"":""Спросите меню."",""aiEnglish"":""Ask for the menu."",""expected"":""Можно меню?"",""expectedEnglish"":""Can I have the menu?""}"
"speakingPrompt","{""ai"":""Спросите счёт."",""aiEnglish"":""Ask for the bill."",""expected"":""Можно счёт?"",""expectedEnglish"":""Can I have the bill?""}"
"quizQuestion","{""question"":""What does \""счёт\"" mean?"",""options"":[""bill"",""coffee"",""menu"",""water""],""correct"":0}"
"quizQuestion","{""question"":""What is \""меню\""?"",""options"":[""menu"",""order"",""table"",""food""],""correct"":0}"
"quizQuestion","{""question"":""Correct request for coffee?"",""options"":[""Я хочу кофе."",""Я хочу воду."",""Я хочу чай."",""Я хочу счёт.""],""correct"":0}"
"quizQuestion","{""question"":""Where do you get food?"",""options"":[""В кафе"",""В банке"",""В школе"",""В аптеке""],""correct"":0}"
