"section" , "payload_json"
"metadata","{""title"": ""At the Airport"", ""description"": ""Check-in, boarding, and baggage claim.""}"
"vocabulary","{""local"":""паспорт"",""english"":""passport""}"
"vocabulary","{""local"":""билет"",""english"":""ticket""}"
"vocabulary","{""local"":""выход"",""english"":""gate""}"
"vocabulary","{""local"":""рейс"",""english"":""flight""}"
"vocabulary","{""local"":""чемодан"",""english"":""suitcase""}"
"vocabulary","{""local"":""очередь"",""english"":""queue""}"
"keySentence","{""local"":""Где мой паспорт?"",""english"":""Where is my passport?"",""answerLocal"":""Ваш паспорт здесь."",""answerEnglish"":""Your passport is here.""}"
"keySentence","{""local"":""Я хочу купить билет."",""english"":""I want to buy a ticket."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Во сколько рейс?"",""english"":""What time is the flight?"",""answerLocal"":""В три часа."",""answerEnglish"":""At 3 o'clock.""}"
"keySentence","{""local"":""Где выход?"",""english"":""Where is the gate?"",""answerLocal"":""Прямо."",""answerEnglish"":""Straight ahead.""}"
"keySentence","{""local"":""У меня чемодан."",""english"":""I have a suitcase."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Где очередь?"",""english"":""Where is the queue?"",""answerLocal"":""Слева."",""answerEnglish"":""On the left.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Добро пожаловать в аэропорт."",""english"":""Welcome to the airport.""}"
"dialogue","{""speaker"":""You"",""local"":""Где мой паспорт?"",""english"":""Where is my passport?""}"
"dialogue","{""speaker"":""Staff"",""local"":""Вот он."",""english"":""Here it is.""}"
"dialogue","{""speaker"":""You"",""local"":""Я хочу билет."",""english"":""I want a ticket.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Хорошо."",""english"":""Okay.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"listening","{""prompt"":""Где мой паспорт?"",""promptEnglish"":""Where is my passport?"",""options"":[{""local"":""Он здесь."",""english"":""It is here.""},{""local"":""Я не знаю."",""english"":""I don't know.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Во сколько рейс?"",""promptEnglish"":""What time is the flight?"",""options"":[{""local"":""В три часа."",""english"":""At 3 o'clock.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Не знаю."",""english"":""I don't know.""}],""correct"":0}"
"listening","{""prompt"":""Где выход?"",""promptEnglish"":""Where is the gate?"",""options"":[{""local"":""Прямо."",""english"":""Straight ahead.""},{""local"":""Сейчас."",""english"":""Now.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Спросите про паспорт."",""aiEnglish"":""Ask about the passport."",""expected"":""Где мой паспорт?"",""expectedEnglish"":""Where is my passport?""}"
"speakingPrompt","{""ai"":""Скажите, что хотите билет."",""aiEnglish"":""Say you want a ticket."",""expected"":""Я хочу купить билет."",""expectedEnglish"":""I want to buy a ticket.""}"
"speakingPrompt","{""ai"":""Спросите время рейса."",""aiEnglish"":""Ask the flight time."",""expected"":""Во сколько рейс?"",""expectedEnglish"":""What time is the flight?""}"
"quizQuestion","{""question"":""What does passport mean?"",""options"":[""passport"",""ticket"",""flight"",""gate""],""correct"":0}"
"quizQuestion","{""question"":""What is \""билет\""?"",""options"":[""ticket"",""suitcase"",""queue"",""flight""],""correct"":0}"
"quizQuestion","{""question"":""Where is the gate?"",""options"":[""Where is exit?"",""Where is passport?"",""Where is ticket?"",""Where is queue?""],""correct"":0}"
"quizQuestion","{""question"":""Correct response to flight time?"",""options"":[""В три часа."",""Я не знаю."",""Позже."",""Нет.""],""correct"":0}"
