"section","payload_json"
"metadata","{""title"":""At a Restaurant"",""description"":""Ordering food and asking for the bill.""}"
"vocabulary","{""local"":""официант"",""english"":""waiter""}"
"vocabulary","{""local"":""стол"",""english"":""table""}"
"vocabulary","{""local"":""еда"",""english"":""food""}"
"vocabulary","{""local"":""меню"",""english"":""menu""}"
"vocabulary","{""local"":""бронирование"",""english"":""reservation""}"
"vocabulary","{""local"":""счёт"",""english"":""bill""}"
"keySentence","{""local"":""У меня бронирование."",""english"":""I have a reservation."",""answerLocal"":""Ваш стол готов."",""answerEnglish"":""Your table is ready.""}"
"keySentence","{""local"":""Можно меню?"",""english"":""Can I have the menu?"",""answerLocal"":""Конечно."",""answerEnglish"":""Of course.""}"
"keySentence","{""local"":""Я хочу заказать."",""english"":""I want to order."",""answerLocal"":""Что будете?"",""answerEnglish"":""What will you have?""}"
"keySentence","{""local"":""Можно счёт?"",""english"":""Can I have the bill?"",""answerLocal"":""Сейчас."",""answerEnglish"":""Right away.""}"
"keySentence","{""local"":""Где мой стол?"",""english"":""Where is my table?"",""answerLocal"":""Вот он."",""answerEnglish"":""Here it is.""}"
"keySentence","{""local"":""Очень вкусно."",""english"":""Very tasty."",""answerLocal"":""Спасибо."",""answerEnglish"":""Thank you.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Добро пожаловать."",""english"":""Welcome.""}"
"dialogue","{""speaker"":""You"",""local"":""У меня бронирование."",""english"":""I have a reservation.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Ваш стол здесь."",""english"":""Your table is here.""}"
"dialogue","{""speaker"":""You"",""local"":""Можно меню?"",""english"":""Can I have the menu?""}"
"dialogue","{""speaker"":""Staff"",""local"":""Конечно."",""english"":""Of course.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"listening","{""prompt"":""У меня бронирование."",""promptEnglish"":""I have a reservation."",""options"":[{""local"":""Ваш стол готов."",""english"":""Your table is ready.""},{""local"":""Я не знаю."",""english"":""I don't know.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Можно меню?"",""promptEnglish"":""Can I have the menu?"",""options"":[{""local"":""Конечно."",""english"":""Of course.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Можно счёт?"",""promptEnglish"":""Can I have the bill?"",""options"":[{""local"":""Сейчас."",""english"":""Right away.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Я не знаю."",""english"":""I don't know.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что хотите заказать."",""aiEnglish"":""Say you want to order."",""expected"":""Я хочу заказать."",""expectedEnglish"":""I want to order.""}"
"speakingPrompt","{""ai"":""Спросите меню."",""aiEnglish"":""Ask for the menu."",""expected"":""Можно меню?"",""expectedEnglish"":""Can I have the menu?""}"
"speakingPrompt","{""ai"":""Спросите счёт."",""aiEnglish"":""Ask for the bill."",""expected"":""Можно счёт?"",""expectedEnglish"":""Can I have the bill?""}"
"quizQuestion","{""question"":""What does waiter mean?"",""options"":[""официант"",""стол"",""еда"",""счёт""],""correct"":0}"
"quizQuestion","{""question"":""What is \""стол\""?"",""options"":[""table"",""food"",""menu"",""bill""],""correct"":0}"
"quizQuestion","{""question"":""Where do you eat?"",""options"":[""в ресторане"",""в банке"",""в школе"",""в аптеке""],""correct"":0}"
"quizQuestion","{""question"":""Correct phrase for ordering?"",""options"":[""Я хочу заказать."",""Я хочу билет."",""Я хочу паспорт."",""Я хочу ключ.""],""correct"":0}"
