"section","payload_json"
"metadata","{""title"":""At Work"",""description"":""Meetings, tasks, and colleagues.""}"
"vocabulary","{""local"":""работа"",""english"":""work""}"
"vocabulary","{""local"":""офис"",""english"":""office""}"
"vocabulary","{""local"":""начальник"",""english"":""boss""}"
"vocabulary","{""local"":""компьютер"",""english"":""computer""}"
"vocabulary","{""local"":""встреча"",""english"":""meeting""}"
"vocabulary","{""local"":""проект"",""english"":""project""}"
"keySentence","{""local"":""Я на работе."",""english"":""I am at work."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""У меня встреча."",""english"":""I have a meeting."",""answerLocal"":""Понятно."",""answerEnglish"":""Understood.""}"
"keySentence","{""local"":""Где начальник?"",""english"":""Where is the boss?"",""answerLocal"":""В офисе."",""answerEnglish"":""In the office.""}"
"keySentence","{""local"":""Я работаю."",""english"":""I am working."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Где компьютер?"",""english"":""Where is the computer?"",""answerLocal"":""На столе."",""answerEnglish"":""On the desk.""}"
"keySentence","{""local"":""У меня проект."",""english"":""I have a project."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"dialogue","{""speaker"":""Boss"",""local"":""Как дела?"",""english"":""How are things?""}"
"dialogue","{""speaker"":""You"",""local"":""Я на работе."",""english"":""I am at work.""}"
"dialogue","{""speaker"":""Boss"",""local"":""Есть встреча?"",""english"":""Do you have a meeting?""}"
"dialogue","{""speaker"":""You"",""local"":""Да."",""english"":""Yes.""}"
"dialogue","{""speaker"":""Boss"",""local"":""Хорошо."",""english"":""Okay.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"listening","{""prompt"":""У меня встреча."",""promptEnglish"":""I have a meeting."",""options"":[{""local"":""Понятно."",""english"":""Understood.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Где начальник?"",""promptEnglish"":""Where is the boss?"",""options"":[{""local"":""В офисе."",""english"":""In the office.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Я работаю."",""promptEnglish"":""I am working."",""options"":[{""local"":""Хорошо."",""english"":""Okay.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что вы на работе."",""aiEnglish"":""Say you are at work."",""expected"":""Я на работе."",""expectedEnglish"":""I am at work.""}"
"speakingPrompt","{""ai"":""Спросите про встречу."",""aiEnglish"":""Ask about meeting."",""expected"":""У меня встреча."",""expectedEnglish"":""I have a meeting.""}"
"speakingPrompt","{""ai"":""Скажите, что работаете."",""aiEnglish"":""Say you are working."",""expected"":""Я работаю."",""expectedEnglish"":""I am working.""}"
"quizQuestion","{""question"":""What is \""работа\""?"",""options"":[""work"",""office"",""boss"",""project""],""correct"":0}"
"quizQuestion","{""question"":""What does \""офис\"" mean?"",""options"":[""office"",""work"",""meeting"",""computer""],""correct"":0}"
"quizQuestion","{""question"":""Where is boss?"",""options"":[""в офисе"",""в банке"",""в школе"",""в кафе""],""correct"":0}"
"quizQuestion","{""question"":""Correct work phrase?"",""options"":[""Я на работе."",""Я в кафе."",""Я в аптеке."",""Я в школе.""],""correct"":0}"
