"section","payload_json"
"metadata","{""title"":""At a Restaurant"",""description"":""Ordering food and asking for the bill.""}"
"vocabulary","{""local"": ""meni"", ""english"": ""menu""}"
"vocabulary","{""local"": ""narud\u017eba"", ""english"": ""order""}"
"vocabulary","{""local"": ""konobar"", ""english"": ""waiter""}"
"vocabulary","{""local"": ""predjelo"", ""english"": ""appetizer""}"
"vocabulary","{""local"": ""glavno jelo"", ""english"": ""main course""}"
"vocabulary","{""local"": ""desert"", ""english"": ""dessert""}"
"keySentence","{""local"": ""Mogu li videti meni?"", ""english"": ""Can I see the menu?"", ""answerLocal"": ""Izvolite, evo menija."", ""answerEnglish"": ""Here you go, here is the menu.""}"
"keySentence","{""local"": ""\u0160ta preporu\u010dujete?"", ""english"": ""What do you recommend?"", ""answerLocal"": ""Preporu\u010dujem ro\u0161tilj, odli\u010dan je."", ""answerEnglish"": ""I recommend the grill, it's excellent.""}"
"keySentence","{""local"": ""Spreman sam za narud\u017ebu."", ""english"": ""I am ready to order."", ""answerLocal"": ""Izvoli, \u0161ta \u0107ete?"", ""answerEnglish"": ""Go ahead, what will you have?""}"
"keySentence","{""local"": ""Mo\u017ee li se zameniti prilog?"", ""english"": ""Can the side dish be changed?"", ""answerLocal"": ""Da, naravno."", ""answerEnglish"": ""Yes, of course.""}"
"keySentence","{""local"": ""Da li jelo sadr\u017ei gluten?"", ""english"": ""Does the dish contain gluten?"", ""answerLocal"": ""Pita\u0107u kuhara."", ""answerEnglish"": ""I will ask the chef.""}"
"keySentence","{""local"": ""Molim ra\u010dun."", ""english"": ""Please, the bill."", ""answerLocal"": ""Odmah donosim."", ""answerEnglish"": ""I'll bring it right away.""}"
"dialogue","{""speaker"": ""Waiter"", ""local"": ""Dobro ve\u010de, dobrodo\u0161li. Mogu li vam doneti meni?"", ""english"": ""Good evening, welcome. Can I bring you a menu?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Da, molim. I \u0161ta preporu\u010dujete?"", ""english"": ""Yes, please. And what do you recommend?""}"
"dialogue","{""speaker"": ""Waiter"", ""local"": ""Na\u0161e specijalno jelo ve\u010deras je pe\u010dena jagnjetina."", ""english"": ""Our special dish tonight is roasted lamb.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Zvu\u010di odli\u010dno. Uze\u0107u to."", ""english"": ""Sounds great. I'll take that.""}"
"dialogue","{""speaker"": ""Waiter"", ""local"": ""Odli\u010dan izbor. Ne\u0161to za pi\u0107e?"", ""english"": ""Excellent choice. Something to drink?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Vodu, molim. I ra\u010dun na kraju."", ""english"": ""Water, please. And the bill at the end.""}"
"listening","{""prompt"": ""\u0160ta preporu\u010dujete?"", ""promptEnglish"": ""What do you recommend?"", ""options"": [{""local"": ""Preporu\u010dujem ro\u0161tilj."", ""english"": ""I recommend the grill.""}, {""local"": ""Ne znam."", ""english"": ""I don't know.""}, {""local"": ""Sve je isto."", ""english"": ""Everything is the same.""}], ""correct"": 0}"
"listening","{""prompt"": ""Mogu li videti meni?"", ""promptEnglish"": ""Can I see the menu?"", ""options"": [{""local"": ""Izvolite."", ""english"": ""Here you go.""}, {""local"": ""Nemamo meni."", ""english"": ""We don't have a menu.""}, {""local"": ""\u010cekajte."", ""english"": ""Wait.""}], ""correct"": 0}"
"listening","{""prompt"": ""Molim ra\u010dun."", ""promptEnglish"": ""Please, the bill."", ""options"": [{""local"": ""Odmah donosim."", ""english"": ""I'll bring it right away.""}, {""local"": ""Platite na ulazu."", ""english"": ""Pay at the entrance.""}, {""local"": ""Sutra."", ""english"": ""Tomorrow.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobro ve\u010de! \u0160ta biste naru\u010dili?"", ""aiEnglish"": ""Good evening! What would you order?"", ""expected"": ""Mogu li videti meni?"", ""expectedEnglish"": ""Can I see the menu?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili preporuku?"", ""aiEnglish"": ""How would you ask for a recommendation?"", ""expected"": ""\u0160ta preporu\u010dujete?"", ""expectedEnglish"": ""What do you recommend?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili ra\u010dun?"", ""aiEnglish"": ""How would you ask for the bill?"", ""expected"": ""Molim ra\u010dun."", ""expectedEnglish"": ""Please, the bill.""}"
"quizQuestion","{""question"": ""What does \""meni\"" mean?"", ""options"": [""order"", ""menu"", ""waiter"", ""dessert""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""konobar\""."", ""options"": [""appetizer"", ""dessert"", ""waiter"", ""main course""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to \""Can I see the menu?\"" is:"", ""options"": [""Here you go, here is the menu."", ""We don't have a menu."", ""Wait.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'I am ready to order'?"", ""options"": [""Spreman sam za narud\u017ebu."", ""Mogu li videti meni?"", ""\u0160ta preporu\u010dujete?"", ""Molim ra\u010dun.""], ""correct"": 0}"
