"section","payload_json"
"metadata","{""title"":""At the Bank"",""description"":""Transactions, currency, and accounts.""}"
"vocabulary","{""local"":""банк"",""english"":""bank""}"
"vocabulary","{""local"":""деньги"",""english"":""money""}"
"vocabulary","{""local"":""счёт"",""english"":""account""}"
"vocabulary","{""local"":""карта"",""english"":""card""}"
"vocabulary","{""local"":""снять"",""english"":""withdraw""}"
"vocabulary","{""local"":""платёж"",""english"":""payment""}"
"keySentence","{""local"":""У меня счёт."",""english"":""I have an account."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Где банк?"",""english"":""Where is the bank?"",""answerLocal"":""Здесь."",""answerEnglish"":""Here.""}"
"keySentence","{""local"":""Я хочу снять деньги."",""english"":""I want to withdraw money."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Можно карту?"",""english"":""Can I have a card?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Где касса?"",""english"":""Where is the counter?"",""answerLocal"":""Слева."",""answerEnglish"":""On the left.""}"
"keySentence","{""local"":""Есть деньги?"",""english"":""Is there money?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"dialogue","{""speaker"":""You"",""local"":""Я хочу снять деньги."",""english"":""I want to withdraw money.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Сколько?"",""english"":""How much?""}"
"dialogue","{""speaker"":""You"",""local"":""Сто рублей."",""english"":""100 rubles.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Хорошо."",""english"":""Okay.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Пожалуйста."",""english"":""You're welcome.""}"
"listening","{""prompt"":""Я хочу снять деньги."",""promptEnglish"":""I want to withdraw money."",""options"":[{""local"":""Сколько?"",""english"":""How much?""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""У меня счёт."",""promptEnglish"":""I have an account."",""options"":[{""local"":""Хорошо."",""english"":""Okay.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Где банк?"",""promptEnglish"":""Where is the bank?"",""options"":[{""local"":""Здесь."",""english"":""Here.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что у вас счёт."",""aiEnglish"":""Say you have an account."",""expected"":""У меня счёт."",""expectedEnglish"":""I have an account.""}"
"speakingPrompt","{""ai"":""Спросите про деньги."",""aiEnglish"":""Ask about money."",""expected"":""Где деньги?"",""expectedEnglish"":""Where is the money?""}"
"speakingPrompt","{""ai"":""Скажите, что хотите снять деньги."",""aiEnglish"":""Say you want to withdraw money."",""expected"":""Я хочу снять деньги."",""expectedEnglish"":""I want to withdraw money.""}"
"quizQuestion","{""question"":""What is \""банк\""?"",""options"":[""bank"",""money"",""card"",""account""],""correct"":0}"
"quizQuestion","{""question"":""What does \""деньги\"" mean?"",""options"":[""money"",""bank"",""card"",""payment""],""correct"":0}"
"quizQuestion","{""question"":""Where do you withdraw money?"",""options"":[{""local"":""в банке"",""english"":""in the bank""},{""local"":""в школе"",""english"":""school""},{""local"":""в кафе"",""english"":""cafe""},{""local"":""в аптеке"",""english"":""pharmacy""}],""correct"":0}"
