"section","payload_json"
"metadata","{""title"":""At the Train Station"",""description"":""Buying tickets and finding schedules.""}"
"vocabulary","{""local"":""поезд"",""english"":""train""}"
"vocabulary","{""local"":""вокзал"",""english"":""station""}"
"vocabulary","{""local"":""платформа"",""english"":""platform""}"
"vocabulary","{""local"":""билет"",""english"":""ticket""}"
"vocabulary","{""local"":""расписание"",""english"":""schedule""}"
"vocabulary","{""local"":""задержка"",""english"":""delay""}"
"keySentence","{""local"":""Где поезд?"",""english"":""Where is the train?"",""answerLocal"":""На платформе."",""answerEnglish"":""On the platform.""}"
"keySentence","{""local"":""Мне нужен билет."",""english"":""I need a ticket."",""answerLocal"":""Вот билет."",""answerEnglish"":""Here is the ticket.""}"
"keySentence","{""local"":""Во сколько поезд?"",""english"":""What time is the train?"",""answerLocal"":""В 5 часов."",""answerEnglish"":""At 5 o'clock.""}"
"keySentence","{""local"":""Где платформа?"",""english"":""Where is the platform?"",""answerLocal"":""Прямо."",""answerEnglish"":""Straight ahead.""}"
"keySentence","{""local"":""Есть задержка?"",""english"":""Is there a delay?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Какой поезд?"",""english"":""Which train?"",""answerLocal"":""Этот."",""answerEnglish"":""This one.""}"
"dialogue","{""speaker"":""You"",""local"":""Где поезд?"",""english"":""Where is the train?""}"
"dialogue","{""speaker"":""Staff"",""local"":""Платформа 2."",""english"":""Platform 2.""}"
"dialogue","{""speaker"":""You"",""local"":""Мне нужен билет."",""english"":""I need a ticket.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Вот."",""english"":""Here.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Пожалуйста."",""english"":""You're welcome.""}"
"listening","{""prompt"":""Где поезд?"",""promptEnglish"":""Where is the train?"",""options"":[{""local"":""На платформе."",""english"":""On the platform.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Во сколько поезд?"",""promptEnglish"":""What time is the train?"",""options"":[{""local"":""В 5 часов."",""english"":""At 5 o'clock.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Есть задержка?"",""promptEnglish"":""Is there a delay?"",""options"":[{""local"":""Да."",""english"":""Yes.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Спросите про поезд."",""aiEnglish"":""Ask about the train."",""expected"":""Где поезд?"",""expectedEnglish"":""Where is the train?""}"
"speakingPrompt","{""ai"":""Спросите время."",""aiEnglish"":""Ask the time."",""expected"":""Во сколько поезд?"",""expectedEnglish"":""What time is the train?""}"
"speakingPrompt","{""ai"":""Скажите, что нужен билет."",""aiEnglish"":""Say you need a ticket."",""expected"":""Мне нужен билет."",""expectedEnglish"":""I need a ticket.""}"
"quizQuestion","{""question"":""What does \""вокзал\"" mean?"",""options"":[""station"",""train"",""bus"",""ticket""],""correct"":0}"
"quizQuestion","{""question"":""What is \""поезд\""?"",""options"":[""train"",""bus"",""car"",""plane""],""correct"":0}"
"quizQuestion","{""question"":""Where is platform?"",""options"":[""На платформе"",""В банке"",""В школе"",""В отеле""],""correct"":0}"
"quizQuestion","{""question"":""Correct delay answer?"",""options"":[""Да."",""Нет."",""Позже."",""Я не знаю.""],""correct"":0}"
