section,payload_json
"metadata","{""title"":""At a Café"",""description"":""Ordering drinks and snacks.""}"
"vocabulary","{""local"":""Kaffee"",""english"":""coffee""}"
"vocabulary","{""local"":""Tee"",""english"":""tea""}"
"vocabulary","{""local"":""Wasser"",""english"":""water""}"
"vocabulary","{""local"":""Kuchen"",""english"":""cake""}"
"vocabulary","{""local"":""Milch"",""english"":""milk""}"
"vocabulary","{""local"":""Zucker"",""english"":""sugar""}"
"keySentence","{""local"":""Ich möchte Kaffee."",""english"":""I would like coffee."",""answerLocal"":""Gerne."",""answerEnglish"":""Sure.""}"
"keySentence","{""local"":""Haben Sie Tee?"",""english"":""Do you have tea?"",""answerLocal"":""Ja."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Ein Wasser, bitte."",""english"":""One water, please."",""answerLocal"":""Kommt sofort."",""answerEnglish"":""Coming right up.""}"
"keySentence","{""local"":""Ich nehme Kuchen."",""english"":""I take cake."",""answerLocal"":""Gute Wahl."",""answerEnglish"":""Good choice.""}"
"keySentence","{""local"":""Mit Milch?"",""english"":""With milk?"",""answerLocal"":""Ja."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Mit Zucker?"",""english"":""With sugar?"",""answerLocal"":""Nein."",""answerEnglish"":""No.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Hallo."",""english"":""Hello.""}"
"dialogue","{""speaker"":""You"",""local"":""Ich möchte Kaffee."",""english"":""I would like coffee.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Mit Milch?"",""english"":""With milk?""}"
"dialogue","{""speaker"":""You"",""local"":""Ja."",""english"":""Yes.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Bitte."",""english"":""Here you go.""}"
"dialogue","{""speaker"":""You"",""local"":""Danke."",""english"":""Thank you.""}"
"listening","{""prompt"":""Ich möchte Kaffee."",""promptEnglish"":""I would like coffee."",""options"":[{""local"":""Gerne."",""english"":""Sure.""},{""local"":""Nein."",""english"":""No.""},{""local"":""Später."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Haben Sie Tee?"",""promptEnglish"":""Do you have tea?"",""options"":[{""local"":""Ja."",""english"":""Yes.""},{""local"":""Nein."",""english"":""No.""},{""local"":""Vielleicht."",""english"":""Maybe.""}],""correct"":0}"
"listening","{""prompt"":""Mit Zucker?"",""promptEnglish"":""With sugar?"",""options"":[{""local"":""Nein."",""english"":""No.""},{""local"":""Ja."",""english"":""Yes.""},{""local"":""Später."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Bestelle Kaffee."",""aiEnglish"":""Order coffee."",""expected"":""Ich möchte Kaffee."",""expectedEnglish"":""I would like coffee.""}"
"speakingPrompt","{""ai"":""Frag nach Tee."",""aiEnglish"":""Ask for tea."",""expected"":""Haben Sie Tee?"",""expectedEnglish"":""Do you have tea?""}"
"speakingPrompt","{""ai"":""Sag, dass du Wasser möchtest."",""aiEnglish"":""Say you want water."",""expected"":""Ein Wasser, bitte."",""expectedEnglish"":""One water, please.""}"
"quizQuestion","{""question"":""What does \""Kaffee\"" mean?"",""options"":[""coffee"",""tea"",""water"",""milk""],""correct"":0}"
"quizQuestion","{""question"":""What is \""Kuchen\""?"",""options"":[""cake"",""coffee"",""tea"",""sugar""],""correct"":0}"
"quizQuestion","{""question"":""How do you ask for tea?"",""options"":[""Haben Sie Tee?"",""Ich nehme Kuchen."",""Mit Milch?"",""Ein Wasser, bitte.""],""correct"":0}"
"quizQuestion","{""question"":""Best response to \""Ich möchte Kaffee.\""?",""options"":[""Gerne."",""Nein."",""Später."",""Nie.""],""correct"":0}"
