"section","payload_json"
"metadata","{""title"":""At the Hotel"",""description"":""Booking rooms and requesting services.""}"
"vocabulary","{""local"": ""rezervacija"", ""english"": ""reservation""}"
"vocabulary","{""local"": ""soba"", ""english"": ""room""}"
"vocabulary","{""local"": ""klju\u010d"", ""english"": ""key""}"
"vocabulary","{""local"": ""recepcija"", ""english"": ""reception""}"
"vocabulary","{""local"": ""doru\u010dak"", ""english"": ""breakfast""}"
"vocabulary","{""local"": ""odjava"", ""english"": ""check-out""}"
"keySentence","{""local"": ""Imam rezervaciju."", ""english"": ""I have a reservation."", ""answerLocal"": ""Kako se zovete?"", ""answerEnglish"": ""What is your name?""}"
"keySentence","{""local"": ""Mogu li dobiti klju\u010d od sobe?"", ""english"": ""Can I get the room key?"", ""answerLocal"": ""Da, evo va\u0161eg klju\u010da."", ""answerEnglish"": ""Yes, here is your key.""}"
"keySentence","{""local"": ""Kada se slu\u017ei doru\u010dak?"", ""english"": ""When is breakfast served?"", ""answerLocal"": ""Doru\u010dak je od sedam do deset."", ""answerEnglish"": ""Breakfast is from seven to ten.""}"
"keySentence","{""local"": ""Gde je recepcija?"", ""english"": ""Where is the reception?"", ""answerLocal"": ""Recepcija je u prizemlju."", ""answerEnglish"": ""The reception is on the ground floor.""}"
"keySentence","{""local"": ""Mogu li imati \u010distu sobu?"", ""english"": ""Can I have a clean room?"", ""answerLocal"": ""Naravno, odmah \u0107emo se pobrinuti."", ""answerEnglish"": ""Of course, we will take care of it right away.""}"
"keySentence","{""local"": ""Kada je odjava?"", ""english"": ""When is check-out?"", ""answerLocal"": ""Odjava je do podne."", ""answerEnglish"": ""Check-out is by noon.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Dobrodo\u0161li u hotel. Mogu li vam pomo\u0107i?"", ""english"": ""Welcome to the hotel. Can I help you?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Imam rezervaciju na ime Petrovi\u0107."", ""english"": ""I have a reservation under the name Petrovi\u0107.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Naravno, prona\u0161ao sam va\u0161u rezervaciju."", ""english"": ""Of course, I found your reservation.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Mo\u017ee li mi dati klju\u010d od sobe?"", ""english"": ""Can you give me the room key?""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Izvolite, soba broj dvesta."", ""english"": ""Here you go, room number two hundred.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Hvala. Kada je doru\u010dak?"", ""english"": ""Thank you. When is breakfast?""}"
"listening","{""prompt"": ""Kada je doru\u010dak?"", ""promptEnglish"": ""When is breakfast?"", ""options"": [{""local"": ""Od sedam do deset."", ""english"": ""From seven to ten.""}, {""local"": ""Nema doru\u010dka."", ""english"": ""There is no breakfast.""}, {""local"": ""Samo vikendom."", ""english"": ""Only on weekends.""}], ""correct"": 0}"
"listening","{""prompt"": ""Gde je recepcija?"", ""promptEnglish"": ""Where is the reception?"", ""options"": [{""local"": ""U prizemlju."", ""english"": ""On the ground floor.""}, {""local"": ""Na tre\u0107em spratu."", ""english"": ""On the third floor.""}, {""local"": ""Ne znam."", ""english"": ""I don't know.""}], ""correct"": 0}"
"listening","{""prompt"": ""Kada je odjava?"", ""promptEnglish"": ""When is check-out?"", ""options"": [{""local"": ""Do podne."", ""english"": ""By noon.""}, {""local"": ""Uve\u010de."", ""english"": ""In the evening.""}, {""local"": ""U \u0161est ujutru."", ""english"": ""At six in the morning.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Zdravo. Dobrodo\u0161li u hotel. \u0160ta vam treba?"", ""aiEnglish"": ""Hello. Welcome to the hotel. What do you need?"", ""expected"": ""Imam rezervaciju."", ""expectedEnglish"": ""I have a reservation.""}"
"speakingPrompt","{""ai"": ""\u0160ta biste pitali o doru\u010dku?"", ""aiEnglish"": ""What would you ask about breakfast?"", ""expected"": ""Kada se slu\u017ei doru\u010dak?"", ""expectedEnglish"": ""When is breakfast served?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili klju\u010d?"", ""aiEnglish"": ""How would you ask for a key?"", ""expected"": ""Mogu li dobiti klju\u010d od sobe?"", ""expectedEnglish"": ""Can I get the room key?""}"
"quizQuestion","{""question"": ""What does \""rezervacija\"" mean?"", ""options"": [""key"", ""breakfast"", ""reservation"", ""room""], ""correct"": 2}"
"quizQuestion","{""question"": ""Choose the best meaning for \""soba\""."", ""options"": [""reception"", ""room"", ""key"", ""check-out""], ""correct"": 1}"
"quizQuestion","{""question"": ""A correct response to \""When is breakfast?\"" is:"", ""options"": [""From seven to ten."", ""There is no breakfast."", ""Only on weekends.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means check-out?"", ""options"": [""odjava"", ""doru\u010dak"", ""recepcija"", ""klju\u010d""], ""correct"": 0}"
