"section","payload_json"
"metadata","{""title"":""At the Bus Stop"",""description"":""Asking for directions.""}"
"vocabulary","{""local"":""автобус"",""english"":""bus""}"
"vocabulary","{""local"":""остановка"",""english"":""stop""}"
"vocabulary","{""local"":""билет"",""english"":""ticket""}"
"vocabulary","{""local"":""маршрут"",""english"":""route""}"
"vocabulary","{""local"":""расписание"",""english"":""schedule""}"
"vocabulary","{""local"":""задержка"",""english"":""delay""}"
"keySentence","{""local"":""Где автобус?"",""english"":""Where is the bus?"",""answerLocal"":""Он скоро будет."",""answerEnglish"":""It will arrive soon.""}"
"keySentence","{""local"":""Мне нужен билет."",""english"":""I need a ticket."",""answerLocal"":""Вот билет."",""answerEnglish"":""Here is the ticket.""}"
"keySentence","{""local"":""Во сколько автобус?"",""english"":""What time is the bus?"",""answerLocal"":""Через 5 минут."",""answerEnglish"":""In 5 minutes.""}"
"keySentence","{""local"":""Где остановка?"",""english"":""Where is the stop?"",""answerLocal"":""Здесь."",""answerEnglish"":""Here.""}"
"keySentence","{""local"":""Есть задержка?"",""english"":""Is there a delay?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Какой маршрут?"",""english"":""Which route?"",""answerLocal"":""Номер 10."",""answerEnglish"":""Number 10.""}"
"dialogue","{""speaker"":""You"",""local"":""Во сколько автобус?"",""english"":""What time is the bus?""}"
"dialogue","{""speaker"":""Staff"",""local"":""Через 5 минут."",""english"":""In 5 minutes.""}"
"dialogue","{""speaker"":""You"",""local"":""Мне нужен билет."",""english"":""I need a ticket.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Вот."",""english"":""Here.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Пожалуйста."",""english"":""You're welcome.""}"
"listening","{""prompt"":""Во сколько автобус?"",""promptEnglish"":""What time is the bus?"",""options"":[{""local"":""Через 5 минут."",""english"":""In 5 minutes.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Где остановка?"",""promptEnglish"":""Where is the stop?"",""options"":[{""local"":""Здесь."",""english"":""Here.""},{""local"":""Я не знаю."",""english"":""I don't know.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Есть задержка?"",""promptEnglish"":""Is there a delay?"",""options"":[{""local"":""Да."",""english"":""Yes.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Спросите про автобус."",""aiEnglish"":""Ask about the bus."",""expected"":""Где автобус?"",""expectedEnglish"":""Where is the bus?""}"
"speakingPrompt","{""ai"":""Спросите время."",""aiEnglish"":""Ask the time."",""expected"":""Во сколько автобус?"",""expectedEnglish"":""What time is the bus?""}"
"speakingPrompt","{""ai"":""Скажите, что нужен билет."",""aiEnglish"":""Say you need a ticket."",""expected"":""Мне нужен билет."",""expectedEnglish"":""I need a ticket.""}"
"quizQuestion","{""question"":""What does \""остановка\"" mean?"",""options"":[""stop"",""bus"",""route"",""ticket""],""correct"":0}"
"quizQuestion","{""question"":""What is \""автобус\""?"",""options"":[""bus"",""train"",""car"",""plane""],""correct"":0}"
"quizQuestion","{""question"":""Correct delay response?"",""options"":[""Да."",""Нет."",""Позже."",""Я не знаю.""],""correct"":0}"
"quizQuestion","{""question"":""Where do you wait for a bus?"",""options"":[""На остановке"",""В банке"",""В школе"",""В отеле""],""correct"":0}"
