"section","payload_json"
"metadata","{""title"":""At the Doctor's Office"",""description"":""Describing symptoms and seeing a doctor.""}"
"vocabulary","{""local"":""врач"",""english"":""doctor""}"
"vocabulary","{""local"":""боль"",""english"":""pain""}"
"vocabulary","{""local"":""температура"",""english"":""fever""}"
"vocabulary","{""local"":""голова"",""english"":""head""}"
"vocabulary","{""local"":""осмотр"",""english"":""checkup""}"
"vocabulary","{""local"":""лечение"",""english"":""treatment""}"
"keySentence","{""local"":""У меня боль."",""english"":""I have pain."",""answerLocal"":""Где?"",""answerEnglish"":""Where?""}"
"keySentence","{""local"":""У меня температура."",""english"":""I have a fever."",""answerLocal"":""Сколько?"",""answerEnglish"":""How much?""}"
"keySentence","{""local"":""Болит голова."",""english"":""My head hurts."",""answerLocal"":""Понимаю."",""answerEnglish"":""I understand.""}"
"keySentence","{""local"":""Мне нужен осмотр."",""english"":""I need a checkup."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Какое лечение?"",""english"":""What treatment?"",""answerLocal"":""Вот."",""answerEnglish"":""Here.""}"
"keySentence","{""local"":""Где врач?"",""english"":""Where is the doctor?"",""answerLocal"":""Здесь."",""answerEnglish"":""Here.""}"
"dialogue","{""speaker"":""Doctor"",""local"":""Что случилось?"",""english"":""What happened?""}"
"dialogue","{""speaker"":""You"",""local"":""У меня боль."",""english"":""I have pain.""}"
"dialogue","{""speaker"":""Doctor"",""local"":""Где?"",""english"":""Where?""}"
"dialogue","{""speaker"":""You"",""local"":""Голова."",""english"":""Head.""}"
"dialogue","{""speaker"":""Doctor"",""local"":""Хорошо."",""english"":""Okay.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"listening","{""prompt"":""У меня температура."",""promptEnglish"":""I have a fever."",""options"":[{""local"":""Сколько?"",""english"":""How much?""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Болит голова."",""promptEnglish"":""My head hurts."",""options"":[{""local"":""Понимаю."",""english"":""I understand.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Где врач?"",""promptEnglish"":""Where is the doctor?"",""options"":[{""local"":""Здесь."",""english"":""Here.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что у вас боль."",""aiEnglish"":""Say you have pain."",""expected"":""У меня боль."",""expectedEnglish"":""I have pain.""}"
"speakingPrompt","{""ai"":""Скажите про температуру."",""aiEnglish"":""Say you have a fever."",""expected"":""У меня температура."",""expectedEnglish"":""I have a fever.""}"
"speakingPrompt","{""ai"":""Спросите про лечение."",""aiEnglish"":""Ask about treatment."",""expected"":""Какое лечение?"",""expectedEnglish"":""What treatment?""}"
"quizQuestion","{""question"":""What does \""врач\"" mean?"",""options"":[""doctor"",""hospital"",""medicine"",""pain""],""correct"":0}"
"quizQuestion","{""question"":""What is \""температура\""?"",""options"":[""fever"",""head"",""pain"",""treatment""],""correct"":0}"
"quizQuestion","{""question"":""Where do you go when sick?"",""options"":[""к врачу"",""в банк"",""в школу"",""в кафе""],""correct"":0}"
