"section","payload_json"
"metadata","{""title"":""At Work"",""description"":""Meetings, tasks, and colleagues.""}"
"vocabulary","{""local"": ""sastanak"", ""english"": ""meeting""}"
"vocabulary","{""local"": ""rok"", ""english"": ""deadline""}"
"vocabulary","{""local"": ""kolega"", ""english"": ""colleague""}"
"vocabulary","{""local"": ""kancelarija"", ""english"": ""office""}"
"vocabulary","{""local"": ""izve\u0161taj"", ""english"": ""report""}"
"vocabulary","{""local"": ""godi\u0161nji odmor"", ""english"": ""vacation""}"
"keySentence","{""local"": ""Kada je slede\u0107i sastanak?"", ""english"": ""When is the next meeting?"", ""answerLocal"": ""Sastanak je u deset sati."", ""answerEnglish"": ""The meeting is at ten o'clock.""}"
"keySentence","{""local"": ""Koji je rok za izve\u0161taj?"", ""english"": ""What is the deadline for the report?"", ""answerLocal"": ""Rok je u petak."", ""answerEnglish"": ""The deadline is on Friday.""}"
"keySentence","{""local"": ""Mogu li uzeti godi\u0161nji odmor?"", ""english"": ""Can I take vacation?"", ""answerLocal"": ""Kada planirate da idete?"", ""answerEnglish"": ""When do you plan to go?""}"
"keySentence","{""local"": ""Gde je kancelarija direktora?"", ""english"": ""Where is the director's office?"", ""answerLocal"": ""Na drugom spratu."", ""answerEnglish"": ""On the second floor.""}"
"keySentence","{""local"": ""Da li ste zavr\u0161ili projekat?"", ""english"": ""Have you finished the project?"", ""answerLocal"": ""Jo\u0161 radim na tome."", ""answerEnglish"": ""I'm still working on it.""}"
"keySentence","{""local"": ""Mogu li razgovarati s kolegom?"", ""english"": ""Can I speak with my colleague?"", ""answerLocal"": ""On je trenutno na sastanku."", ""answerEnglish"": ""He is currently in a meeting.""}"
"dialogue","{""speaker"": ""Boss"", ""local"": ""Dobro jutro. Jeste li videli izve\u0161taj?"", ""english"": ""Good morning. Have you seen the report?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Da, pregledao sam ga."", ""english"": ""Yes, I reviewed it.""}"
"dialogue","{""speaker"": ""Boss"", ""local"": ""Odli\u010dno. Imamo sastanak u deset."", ""english"": ""Excellent. We have a meeting at ten.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Da li treba ne\u0161to da pripremim?"", ""english"": ""Do I need to prepare anything?""}"
"dialogue","{""speaker"": ""Boss"", ""local"": ""Samo budite tu na vreme."", ""english"": ""Just be there on time.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Razumem. Kada je rok za slede\u0107i izve\u0161taj?"", ""english"": ""Understood. When is the deadline for the next report?""}"
"listening","{""prompt"": ""Kada je sastanak?"", ""promptEnglish"": ""When is the meeting?"", ""options"": [{""local"": ""U deset sati."", ""english"": ""At ten o'clock.""}, {""local"": ""Sutra."", ""english"": ""Tomorrow.""}, {""local"": ""Nema sastanka."", ""english"": ""There is no meeting.""}], ""correct"": 0}"
"listening","{""prompt"": ""Koji je rok?"", ""promptEnglish"": ""What is the deadline?"", ""options"": [{""local"": ""U petak."", ""english"": ""On Friday.""}, {""local"": ""Slede\u0107e nedelje."", ""english"": ""Next week.""}, {""local"": ""Nema roka."", ""english"": ""There is no deadline.""}], ""correct"": 0}"
"listening","{""prompt"": ""Da li ste zavr\u0161ili projekat?"", ""promptEnglish"": ""Have you finished the project?"", ""options"": [{""local"": ""Jo\u0161 radim na tome."", ""english"": ""I'm still working on it.""}, {""local"": ""Da, davno."", ""english"": ""Yes, long ago.""}, {""local"": ""Koji projekat?"", ""english"": ""Which project?""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobro jutro! \u0160ta je na rasporedu?"", ""aiEnglish"": ""Good morning! What's on the schedule?"", ""expected"": ""Kada je slede\u0107i sastanak?"", ""expectedEnglish"": ""When is the next meeting?""}"
"speakingPrompt","{""ai"": ""Kako biste pitali za rok?"", ""aiEnglish"": ""How would you ask about a deadline?"", ""expected"": ""Koji je rok za izve\u0161taj?"", ""expectedEnglish"": ""What is the deadline for the report?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili godi\u0161nji odmor?"", ""aiEnglish"": ""How would you ask for vacation?"", ""expected"": ""Mogu li uzeti godi\u0161nji odmor?"", ""expectedEnglish"": ""Can I take vacation?""}"
"quizQuestion","{""question"": ""What does \""sastanak\"" mean?"", ""options"": [""report"", ""deadline"", ""meeting"", ""colleague""], ""correct"": 2}"
"quizQuestion","{""question"": ""Choose the best meaning for \""rok\""."", ""options"": [""vacation"", ""deadline"", ""office"", ""meeting""], ""correct"": 1}"
"quizQuestion","{""question"": ""A correct response to \""When is the meeting?\"" is:"", ""options"": [""At ten o'clock."", ""There is no meeting."", ""Ask a colleague.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'Have you finished the project?'"", ""options"": [""Da li ste zavr\u0161ili projekat?"", ""Kada je slede\u0107i sastanak?"", ""Koji je rok?"", ""Mogu li uzeti godi\u0161nji odmor?""], ""correct"": 0}"
