"section","payload_json"
"metadata","{""title"":""At the Pharmacy"",""description"":""Asking for medication and dosage.""}"
"vocabulary","{""local"":""аптека"",""english"":""pharmacy""}"
"vocabulary","{""local"":""лекарство"",""english"":""medicine""}"
"vocabulary","{""local"":""таблетка"",""english"":""pill""}"
"vocabulary","{""local"":""рецепт"",""english"":""prescription""}"
"vocabulary","{""local"":""боль"",""english"":""pain""}"
"vocabulary","{""local"":""врач"",""english"":""doctor""}"
"keySentence","{""local"":""Мне нужно лекарство."",""english"":""I need medicine."",""answerLocal"":""Какое?"",""answerEnglish"":""Which one?""}"
"keySentence","{""local"":""У меня боль."",""english"":""I have pain."",""answerLocal"":""Где?"",""answerEnglish"":""Where?""}"
"keySentence","{""local"":""Есть таблетки?"",""english"":""Do you have pills?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Нужен рецепт?"",""english"":""Do I need a prescription?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Где врач?"",""english"":""Where is the doctor?"",""answerLocal"":""Рядом."",""answerEnglish"":""Nearby.""}"
"keySentence","{""local"":""Сколько стоит?"",""english"":""How much is it?"",""answerLocal"":""Сто рублей."",""answerEnglish"":""100 rubles.""}"
"dialogue","{""speaker"":""You"",""local"":""Мне нужно лекарство."",""english"":""I need medicine.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Какое?"",""english"":""Which one?""}"
"dialogue","{""speaker"":""You"",""local"":""От боли."",""english"":""For pain.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Вот."",""english"":""Here.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Пожалуйста."",""english"":""You're welcome.""}"
"listening","{""prompt"":""Мне нужно лекарство."",""promptEnglish"":""I need medicine."",""options"":[{""local"":""Вот."",""english"":""Here.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""У меня боль."",""promptEnglish"":""I have pain."",""options"":[{""local"":""Где?"",""english"":""Where?""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Есть таблетки?"",""promptEnglish"":""Do you have pills?"",""options"":[{""local"":""Да."",""english"":""Yes.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что вам нужно лекарство."",""aiEnglish"":""Say you need medicine."",""expected"":""Мне нужно лекарство."",""expectedEnglish"":""I need medicine.""}"
"speakingPrompt","{""ai"":""Спросите про боль."",""aiEnglish"":""Ask about pain."",""expected"":""У меня боль."",""expectedEnglish"":""I have pain.""}"
"speakingPrompt","{""ai"":""Спросите цену."",""aiEnglish"":""Ask the price."",""expected"":""Сколько стоит?"",""expectedEnglish"":""How much is it?""}"
"quizQuestion","{""question"":""What does \""аптека\"" mean?"",""options"":[""pharmacy"",""doctor"",""hospital"",""store""],""correct"":0}"
"quizQuestion","{""question"":""What is \""лекарство\""?"",""options"":[""medicine"",""pain"",""pill"",""doctor""],""correct"":0}"
"quizQuestion","{""question"":""Where do you buy medicine?"",""options"":[""в аптеке"",""в банке"",""в школе"",""в кафе""],""correct"":0}"
