"section","payload_json"
"metadata","{""title"": ""At the Airport"", ""description"": ""Check-in, boarding, and baggage claim.""}"
"vocabulary","{""local"": ""paso\u0161"", ""english"": ""passport""}"
"vocabulary","{""local"": ""karta"", ""english"": ""ticket""}"
"vocabulary","{""local"": ""izlaz"", ""english"": ""gate""}"
"vocabulary","{""local"": ""let"", ""english"": ""flight""}"
"vocabulary","{""local"": ""kofer"", ""english"": ""suitcase""}"
"vocabulary","{""local"": ""ka\u0161njenje"", ""english"": ""delay""}"
"keySentence","{""local"": ""Gde je paso\u0161?"", ""english"": ""Where is the passport?"", ""answerLocal"": ""Paso\u0161 je na desnoj strani."", ""answerEnglish"": ""The passport is on the right side.""}"
"keySentence","{""local"": ""Mogu li dobiti kartu?"", ""english"": ""Can I get a ticket?"", ""answerLocal"": ""Da, odmah \u0107u pripremiti."", ""answerEnglish"": ""Yes, I will prepare it right away.""}"
"keySentence","{""local"": ""Kada po\u010dinje ukrcavanje na izlaz?"", ""english"": ""When does gate boarding start?"", ""answerLocal"": ""Ukrcavanje po\u010dinje u tri sata."", ""answerEnglish"": ""Boarding starts at 3 o'clock.""}"
"keySentence","{""local"": ""Mo\u017eete li mi pomo\u0107i oko leta?"", ""english"": ""Can you help me with the flight?"", ""answerLocal"": ""Naravno, hajde da proverimo zajedno."", ""answerEnglish"": ""Of course, let's check together.""}"
"keySentence","{""local"": ""Imate li kofer?"", ""english"": ""Do you have a suitcase?"", ""answerLocal"": ""Da, ovde je dostupno."", ""answerEnglish"": ""Yes, it is available here.""}"
"keySentence","{""local"": ""Hvala, \u0161ta treba da uradim zbog ka\u0161njenja?"", ""english"": ""Thanks, what should I do for the delay?"", ""answerLocal"": ""Molim vas pratite ovaj red."", ""answerEnglish"": ""Please follow this order.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Zdravo, dobrodo\u0161li na aerodrom."", ""english"": ""Hello, welcome to the airport.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Mogu li dobiti informacije o paso\u0161u?"", ""english"": ""Can I get information about the passport?""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Naravno, paso\u0161 je na ovoj strani."", ""english"": ""Sure, the passport is on this side.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""\u017delim da kupim kartu."", ""english"": ""I want to buy a ticket.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""U redu, odmah \u0107u vam pomo\u0107i."", ""english"": ""Okay, I will help you right away.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Hvala vam puno."", ""english"": ""Thank you very much.""}"
"listening","{""prompt"": ""Gde je paso\u0161?"", ""promptEnglish"": ""Where is the passport?"", ""options"": [{""local"": ""Paso\u0161 je na desnoj strani."", ""english"": ""The passport is on the right side.""}, {""local"": ""Ne znam."", ""english"": ""I don't know.""}, {""local"": ""Do\u0111ite kasnije."", ""english"": ""Come later.""}], ""correct"": 0}"
"listening","{""prompt"": ""Mogu li dobiti kartu?"", ""promptEnglish"": ""Can I get a ticket?"", ""options"": [{""local"": ""Da, naravno."", ""english"": ""Yes, of course.""}, {""local"": ""Ne, zatvoreno je."", ""english"": ""No, it's closed.""}, {""local"": ""Mo\u017eda sutra."", ""english"": ""Maybe tomorrow.""}], ""correct"": 0}"
"listening","{""prompt"": ""Kada je izlaz?"", ""promptEnglish"": ""When is the gate?"", ""options"": [{""local"": ""U tri sata."", ""english"": ""At 3 o'clock.""}, {""local"": ""Nije danas."", ""english"": ""Not today.""}, {""local"": ""Nema ga."", ""english"": ""There isn't any.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Zdravo. Koje je va\u0161e prvo pitanje za aerodrom?"", ""aiEnglish"": ""Hello. What's your first question for the airport?"", ""expected"": ""Gde je paso\u0161?"", ""expectedEnglish"": ""Where is the passport?""}"
"speakingPrompt","{""ai"": ""\u0160ta biste rekli o karti?"", ""aiEnglish"": ""What would you say about a ticket?"", ""expected"": ""Mogu li dobiti kartu?"", ""expectedEnglish"": ""Can I get a ticket?""}"
"speakingPrompt","{""ai"": ""Mo\u017eete li pitati za vreme izlaza?"", ""aiEnglish"": ""Can you ask the time for the gate?"", ""expected"": ""Kada je izlaz?"", ""expectedEnglish"": ""When is the gate?""}"
"quizQuestion","{""question"": ""What does \""paso\u0161\"" mean?"", ""options"": [""passport"", ""ticket"", ""gate"", ""flight""], ""correct"": 0}"
"quizQuestion","{""question"": ""Choose the best meaning for \""karta\""."", ""options"": [""flight"", ""ticket"", ""suitcase"", ""gate""], ""correct"": 1}"
"quizQuestion","{""question"": ""A correct response to \""Where is the passport?\"" is:"", ""options"": [""The passport is on the right side."", ""I don't know."", ""Come later.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase asks for help politely?"", ""options"": [""Mo\u017eete li mi pomo\u0107i oko leta?"", ""Ukrcavanje po\u010dinje u tri sata."", ""Da, odmah \u0107u pripremiti."", ""Paso\u0161 je na desnoj strani.""], ""correct"": 0}"
