"section","payload_json"
"metadata","{""title"":""At the Doctor's Office"",""description"":""Describing symptoms and seeing a doctor.""}"
"vocabulary","{""local"": ""doktor"", ""english"": ""doctor""}"
"vocabulary","{""local"": ""simptom"", ""english"": ""symptom""}"
"vocabulary","{""local"": ""pregled"", ""english"": ""examination""}"
"vocabulary","{""local"": ""temperatura"", ""english"": ""temperature""}"
"vocabulary","{""local"": ""bol"", ""english"": ""pain""}"
"vocabulary","{""local"": ""termin"", ""english"": ""appointment""}"
"keySentence","{""local"": ""Boli me grlo."", ""english"": ""My throat hurts."", ""answerLocal"": ""Otvorite usta, molim."", ""answerEnglish"": ""Open your mouth, please.""}"
"keySentence","{""local"": ""Imam visoku temperaturu."", ""english"": ""I have a high temperature."", ""answerLocal"": ""Izmeri\u0107emo temperaturu."", ""answerEnglish"": ""We will take your temperature.""}"
"keySentence","{""local"": ""Mogu li zakazati termin?"", ""english"": ""Can I make an appointment?"", ""answerLocal"": ""Kada vam odgovara?"", ""answerEnglish"": ""When is convenient for you?""}"
"keySentence","{""local"": ""Ve\u0107 dva dana imam ka\u0161alj."", ""english"": ""I've had a cough for two days."", ""answerLocal"": ""Da li imate i ostale simptome?"", ""answerEnglish"": ""Do you have any other symptoms?""}"
"keySentence","{""local"": ""Koliko traje pregled?"", ""english"": ""How long does the examination last?"", ""answerLocal"": ""Oko dvadeset minuta."", ""answerEnglish"": ""About twenty minutes.""}"
"keySentence","{""local"": ""Trebam li uzeti bolovanje?"", ""english"": ""Do I need sick leave?"", ""answerLocal"": ""Da, odmori\u0107e vas trodnevno bolovanje."", ""answerEnglish"": ""Yes, three-day sick leave will rest you.""}"
"dialogue","{""speaker"": ""Doctor"", ""local"": ""Dobar dan. \u0160ta vas mu\u010di?"", ""english"": ""Good day. What is bothering you?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Boli me grlo i imam temperaturu."", ""english"": ""My throat hurts and I have a temperature.""}"
"dialogue","{""speaker"": ""Doctor"", ""local"": ""Od kada imate ove simptome?"", ""english"": ""Since when have you had these symptoms?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Od ju\u010de uve\u010de."", ""english"": ""Since yesterday evening.""}"
"dialogue","{""speaker"": ""Doctor"", ""local"": ""Pregleda\u0107u vas. Otvorite usta."", ""english"": ""I will examine you. Open your mouth.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Treba li mi recept?"", ""english"": ""Do I need a prescription?""}"
"listening","{""prompt"": ""\u0160ta vas mu\u010di?"", ""promptEnglish"": ""What is bothering you?"", ""options"": [{""local"": ""Boli me grlo."", ""english"": ""My throat hurts.""}, {""local"": ""Sve je u redu."", ""english"": ""Everything is fine.""}, {""local"": ""Samo sam umoran."", ""english"": ""I'm just tired.""}], ""correct"": 0}"
"listening","{""prompt"": ""Imate li temperaturu?"", ""promptEnglish"": ""Do you have a temperature?"", ""options"": [{""local"": ""Da, trideset osam."", ""english"": ""Yes, thirty-eight.""}, {""local"": ""Nisam merio."", ""english"": ""I haven't measured.""}, {""local"": ""Ne, nemam."", ""english"": ""No, I don't.""}], ""correct"": 0}"
"listening","{""prompt"": ""Kada vam odgovara termin?"", ""promptEnglish"": ""When is convenient for you for an appointment?"", ""options"": [{""local"": ""Sutra ujutru."", ""english"": ""Tomorrow morning.""}, {""local"": ""Nikad."", ""english"": ""Never.""}, {""local"": ""Ne trebam termin."", ""english"": ""I don't need an appointment.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobar dan. \u0160ta vas mu\u010di?"", ""aiEnglish"": ""Good day. What is bothering you?"", ""expected"": ""Boli me grlo."", ""expectedEnglish"": ""My throat hurts.""}"
"speakingPrompt","{""ai"": ""Kako biste rekli da imate temperaturu?"", ""aiEnglish"": ""How would you say you have a temperature?"", ""expected"": ""Imam visoku temperaturu."", ""expectedEnglish"": ""I have a high temperature.""}"
"speakingPrompt","{""ai"": ""Kako biste zakazali termin?"", ""aiEnglish"": ""How would you make an appointment?"", ""expected"": ""Mogu li zakazati termin?"", ""expectedEnglish"": ""Can I make an appointment?""}"
"quizQuestion","{""question"": ""What does \""doktor\"" mean?"", ""options"": [""nurse"", ""doctor"", ""patient"", ""medicine""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""termin\""."", ""options"": [""symptom"", ""pain"", ""appointment"", ""examination""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to \""My throat hurts\"" is:"", ""options"": [""Open your mouth, please."", ""Take a walk."", ""Drink coffee.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'I have a high temperature'?"", ""options"": [""Imam visoku temperaturu."", ""Boli me grlo."", ""Mogu li zakazati termin?"", ""Trebam li uzeti bolovanje?""], ""correct"": 0}"
