"metadata","{""title"":""At the Post Office"",""description"":""Sending packages and buying stamps.""}"
"vocabulary","{""local"":""почта"",""english"":""post office""}"
"vocabulary","{""local"":""письмо"",""english"":""letter""}"
"vocabulary","{""local"":""посылка"",""english"":""package""}"
"vocabulary","{""local"":""адрес"",""english"":""address""}"
"vocabulary","{""local"":""марка"",""english"":""stamp""}"
"vocabulary","{""local"":""отправить"",""english"":""send""}"
"keySentence","{""local"":""Я хочу отправить письмо."",""english"":""I want to send a letter."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Где почта?"",""english"":""Where is the post office?"",""answerLocal"":""Здесь."",""answerEnglish"":""Here.""}"
"keySentence","{""local"":""У меня посылка."",""english"":""I have a package."",""answerLocal"":""Понятно."",""answerEnglish"":""Understood.""}"
"keySentence","{""local"":""Мне нужна марка."",""english"":""I need a stamp."",""answerLocal"":""Вот."",""answerEnglish"":""Here.""}"
"keySentence","{""local"":""Какой адрес?"",""english"":""What address?"",""answerLocal"":""Вот адрес."",""answerEnglish"":""Here is the address.""}"
"keySentence","{""local"":""Сколько стоит отправка?"",""english"":""How much is shipping?"",""answerLocal"":""Сто рублей."",""answerEnglish"":""100 rubles.""}"
"dialogue","{""speaker"":""You"",""local"":""Я хочу отправить письмо."",""english"":""I want to send a letter.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Адрес?"",""english"":""Address?""}"
"dialogue","{""speaker"":""You"",""local"":""Вот."",""english"":""Here.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Хорошо."",""english"":""Okay.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Пожалуйста."",""english"":""You're welcome.""}"
"listening","{""prompt"":""Я хочу отправить письмо."",""promptEnglish"":""I want to send a letter."",""options"":[{""local"":""Хорошо."",""english"":""Okay.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""У меня посылка."",""promptEnglish"":""I have a package."",""options"":[{""local"":""Понятно."",""english"":""Understood.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Мне нужна марка."",""promptEnglish"":""I need a stamp."",""options"":[{""local"":""Вот."",""english"":""Here.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что хотите отправить письмо."",""aiEnglish"":""Say you want to send a letter."",""expected"":""Я хочу отправить письмо."",""expectedEnglish"":""I want to send a letter.""}"
"speakingPrompt","{""ai"":""Спросите про посылку."",""aiEnglish"":""Ask about package."",""expected"":""Где посылка?"",""expectedEnglish"":""Where is the package?""}"
"speakingPrompt","{""ai"":""Скажите, что нужен адрес."",""aiEnglish"":""Say you need an address."",""expected"":""Мне нужен адрес."",""expectedEnglish"":""I need an address.""}"
"quizQuestion","{""question"":""What is \""почта\""?"",""options"":[""post office"",""bank"",""school"",""shop""],""correct"":0}"
"quizQuestion","{""question"":""What does \""письмо\"" mean?"",""options"":[""letter"",""package"",""stamp"",""address""],""correct"":0}"
"quizQuestion","{""question"":""What do you send at post office?"",""options"":[{""local"":""письмо"",""english"":""letter""},{""local"":""деньги"",""english"":""money""},{""local"":""еда"",""english"":""food""},{""local"":""ключ"",""english"":""key""}],""correct"":0}"
