"section","payload_json"
"metadata","{""title"":""At the Shopping Mall"",""description"":""Sizes, prices, and returns.""}"
"vocabulary","{""local"": ""prodavnica"", ""english"": ""store""}"
"vocabulary","{""local"": ""veli\u010dina"", ""english"": ""size""}"
"vocabulary","{""local"": ""popust"", ""english"": ""discount""}"
"vocabulary","{""local"": ""kasa"", ""english"": ""register/cashier""}"
"vocabulary","{""local"": ""garderoba"", ""english"": ""fitting room""}"
"vocabulary","{""local"": ""povra\u0107aj"", ""english"": ""refund""}"
"keySentence","{""local"": ""Imate li ovo u ve\u0107oj veli\u010dini?"", ""english"": ""Do you have this in a larger size?"", ""answerLocal"": ""Da, imam u M i L."", ""answerEnglish"": ""Yes, I have it in M and L.""}"
"keySentence","{""local"": ""Gde je garderoba?"", ""english"": ""Where is the fitting room?"", ""answerLocal"": ""Garderoba je na kraju."", ""answerEnglish"": ""The fitting room is at the end.""}"
"keySentence","{""local"": ""Da li imate popust?"", ""english"": ""Do you have a discount?"", ""answerLocal"": ""Da, trideset posto popusta."", ""answerEnglish"": ""Yes, thirty percent discount.""}"
"keySentence","{""local"": ""Mogu li vratiti ovu stvar?"", ""english"": ""Can I return this item?"", ""answerLocal"": ""Imate trideset dana za povra\u0107aj."", ""answerEnglish"": ""You have thirty days for a return.""}"
"keySentence","{""local"": ""Gde je kasa?"", ""english"": ""Where is the cashier?"", ""answerLocal"": ""Kasa je desno od ulaza."", ""answerEnglish"": ""The cashier is to the right of the entrance.""}"
"keySentence","{""local"": ""Koliko ko\u0161ta ova jakna?"", ""english"": ""How much does this jacket cost?"", ""answerLocal"": ""Jakna ko\u0161ta tri hiljade dinara."", ""answerEnglish"": ""The jacket costs three thousand dinars.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Dobrodo\u0161li. Mogu li vam pomo\u0107i?"", ""english"": ""Welcome. Can I help you?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Da, tra\u017eim jaknu za zimu."", ""english"": ""Yes, I'm looking for a winter jacket.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Koje je va\u0161a veli\u010dina?"", ""english"": ""What is your size?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Obi\u010dno nosim M."", ""english"": ""I usually wear M.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Evo jedne, ba\u0161 stigla."", ""english"": ""Here is one, just arrived.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Lepa je. Gde je garderoba?"", ""english"": ""It's nice. Where is the fitting room?""}"
"listening","{""prompt"": ""Imate li ovo u ve\u0107oj veli\u010dini?"", ""promptEnglish"": ""Do you have this in a larger size?"", ""options"": [{""local"": ""Da, imam u L."", ""english"": ""Yes, I have it in L.""}, {""local"": ""Nemamo vi\u0161e."", ""english"": ""We don't have any more.""}, {""local"": ""Nije na sni\u017eenju."", ""english"": ""It's not on sale.""}], ""correct"": 0}"
"listening","{""prompt"": ""Gde je kasa?"", ""promptEnglish"": ""Where is the cashier?"", ""options"": [{""local"": ""Desno od ulaza."", ""english"": ""To the right of the entrance.""}, {""local"": ""Nema kase."", ""english"": ""There is no cashier.""}, {""local"": ""Platite online."", ""english"": ""Pay online.""}], ""correct"": 0}"
"listening","{""prompt"": ""Mogu li vratiti ovu stvar?"", ""promptEnglish"": ""Can I return this item?"", ""options"": [{""local"": ""Imate trideset dana."", ""english"": ""You have thirty days.""}, {""local"": ""Ne primamo vra\u0107anje."", ""english"": ""We don't accept returns.""}, {""local"": ""Sutra do\u0111ite."", ""english"": ""Come tomorrow.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobrodo\u0161li! \u0160ta tra\u017eite?"", ""aiEnglish"": ""Welcome! What are you looking for?"", ""expected"": ""Imate li ovo u ve\u0107oj veli\u010dini?"", ""expectedEnglish"": ""Do you have this in a larger size?""}"
"speakingPrompt","{""ai"": ""Kako biste pitali za popust?"", ""aiEnglish"": ""How would you ask about a discount?"", ""expected"": ""Da li imate popust?"", ""expectedEnglish"": ""Do you have a discount?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili povra\u0107aj?"", ""aiEnglish"": ""How would you ask for a refund?"", ""expected"": ""Mogu li vratiti ovu stvar?"", ""expectedEnglish"": ""Can I return this item?""}"
"quizQuestion","{""question"": ""What does \""prodavnica\"" mean?"", ""options"": [""size"", ""store"", ""discount"", ""cashier""], ""correct"": 1}"
"quizQuestion","{""question"": ""Choose the best meaning for \""popust\""."", ""options"": [""refund"", ""size"", ""discount"", ""fitting room""], ""correct"": 2}"
"quizQuestion","{""question"": ""A correct response to 'Can I return this item?' is:"", ""options"": [""You have thirty days for a return."", ""We don't accept returns."", ""Come tomorrow.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'Where is the fitting room?'"", ""options"": [""Gde je garderoba?"", ""Koliko ko\u0161ta ova jakna?"", ""Da li imate popust?"", ""Gde je kasa?""], ""correct"": 0}"
