"section","payload_json"
"metadata","{""title"":""At the Hotel"",""description"":""Booking rooms and requesting services.""}"
"vocabulary","{""local"":""отель"",""english"":""hotel""}"
"vocabulary","{""local"":""номер"",""english"":""room""}"
"vocabulary","{""local"":""ключ"",""english"":""key""}"
"vocabulary","{""local"":""ресепшн"",""english"":""reception""}"
"vocabulary","{""local"":""бронирование"",""english"":""reservation""}"
"vocabulary","{""local"":""завтрак"",""english"":""breakfast""}"
"keySentence","{""local"":""У меня бронирование."",""english"":""I have a reservation."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Где мой номер?"",""english"":""Where is my room?"",""answerLocal"":""На втором этаже."",""answerEnglish"":""On the second floor.""}"
"keySentence","{""local"":""Можно ключ?"",""english"":""Can I have a key?"",""answerLocal"":""Вот ключ."",""answerEnglish"":""Here is the key.""}"
"keySentence","{""local"":""Во сколько завтрак?"",""english"":""What time is breakfast?"",""answerLocal"":""В семь утра."",""answerEnglish"":""At 7 AM.""}"
"keySentence","{""local"":""Где ресепшн?"",""english"":""Where is reception?"",""answerLocal"":""Слева."",""answerEnglish"":""On the left.""}"
"keySentence","{""local"":""Я гость."",""english"":""I am a guest."",""answerLocal"":""Добро пожаловать."",""answerEnglish"":""Welcome.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Добро пожаловать."",""english"":""Welcome.""}"
"dialogue","{""speaker"":""You"",""local"":""У меня бронирование."",""english"":""I have a reservation.""}"
"dialogue","{""speaker"":""Staff"",""local"":""Ваш номер готов."",""english"":""Your room is ready.""}"
"dialogue","{""speaker"":""You"",""local"":""Где завтрак?"",""english"":""Where is breakfast?""}"
"dialogue","{""speaker"":""Staff"",""local"":""На первом этаже."",""english"":""On the first floor.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"listening","{""prompt"":""Где мой номер?"",""promptEnglish"":""Where is my room?"",""options"":[{""local"":""На втором этаже."",""english"":""On the second floor.""},{""local"":""Позже."",""english"":""Later."""},{""local"":""Нет."",""english"":""No.""}],""correct"":0}"
"listening","{""prompt"":""Во сколько завтрак?"",""promptEnglish"":""What time is breakfast?"",""options"":[{""local"":""В семь утра."",""english"":""At 7 AM.""},{""local"":""Я не знаю."",""english"":""I don't know.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Где ресепшн?"",""promptEnglish"":""Where is reception?"",""options"":[{""local"":""Слева."",""english"":""On the left.""},{""local"":""Прямо."",""english"":""Straight ahead.""},{""local"":""Сейчас."",""english"":""Now.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Спросите про номер."",""aiEnglish"":""Ask about your room."",""expected"":""Где мой номер?"",""expectedEnglish"":""Where is my room?""}"
"speakingPrompt","{""ai"":""Скажите про бронирование."",""aiEnglish"":""Say you have a reservation."",""expected"":""У меня бронирование."",""expectedEnglish"":""I have a reservation.""}"
"speakingPrompt","{""ai"":""Спросите про завтрак."",""aiEnglish"":""Ask about breakfast."",""expected"":""Во сколько завтрак?"",""expectedEnglish"":""What time is breakfast?""}"
"quizQuestion","{""question"":""What does \""номер\"" mean?"",""options"":[""room"",""key"",""hotel"",""guest""],""correct"":0}"
"quizQuestion","{""question"":""What is reception?"",""options"":[""ресепшн"",""номер"",""завтрак"",""ключ""],""correct"":0}"
"quizQuestion","{""question"":""When is breakfast?"",""options"":[""7 AM"",""3 PM"",""No"",""Later""],""correct"":0}"
"quizQuestion","{""question"":""Correct guest phrase?"",""options"":[""Я гость."",""Я ключ."",""Я номер."",""Я завтрак.""],""correct"":0}"
