"section","payload_json"
"metadata","{""title"":""At School"",""description"":""Introducing yourself and academics.""}"
"vocabulary","{""local"":""школа"",""english"":""school""}"
"vocabulary","{""local"":""учитель"",""english"":""teacher""}"
"vocabulary","{""local"":""ученик"",""english"":""student""}"
"vocabulary","{""local"":""урок"",""english"":""lesson""}"
"vocabulary","{""local"":""книга"",""english"":""book""}"
"vocabulary","{""local"":""домашнее задание"",""english"":""homework""}"
"keySentence","{""local"":""Я ученик."",""english"":""I am a student."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Где учитель?"",""english"":""Where is the teacher?"",""answerLocal"":""В классе."",""answerEnglish"":""In class.""}"
"keySentence","{""local"":""У меня урок."",""english"":""I have a lesson."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"keySentence","{""local"":""Где книга?"",""english"":""Where is the book?"",""answerLocal"":""На столе."",""answerEnglish"":""On the table.""}"
"keySentence","{""local"":""Есть домашнее задание?"",""english"":""Is there homework?"",""answerLocal"":""Да."",""answerEnglish"":""Yes.""}"
"keySentence","{""local"":""Я учусь."",""english"":""I am studying."",""answerLocal"":""Хорошо."",""answerEnglish"":""Okay.""}"
"dialogue","{""speaker"":""Teacher"",""local"":""Здравствуйте."",""english"":""Hello.""}"
"dialogue","{""speaker"":""You"",""local"":""Где урок?"",""english"":""Where is the lesson?""}"
"dialogue","{""speaker"":""Teacher"",""local"":""В классе."",""english"":""In the classroom.""}"
"dialogue","{""speaker"":""You"",""local"":""Спасибо."",""english"":""Thank you.""}"
"dialogue","{""speaker"":""Teacher"",""local"":""Пожалуйста."",""english"":""You're welcome.""}"
"dialogue","{""speaker"":""You"",""local"":""Я ученик."",""english"":""I am a student.""}"
"listening","{""prompt"":""Где учитель?"",""promptEnglish"":""Where is the teacher?"",""options"":[{""local"":""В классе."",""english"":""In class.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""У меня урок."",""promptEnglish"":""I have a lesson."",""options"":[{""local"":""Хорошо."",""english"":""Okay.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"listening","{""prompt"":""Есть домашнее задание?"",""promptEnglish"":""Is there homework?"",""options"":[{""local"":""Да."",""english"":""Yes.""},{""local"":""Нет."",""english"":""No.""},{""local"":""Позже."",""english"":""Later.""}],""correct"":0}"
"speakingPrompt","{""ai"":""Скажите, что вы ученик."",""aiEnglish"":""Say you are a student."",""expected"":""Я ученик."",""expectedEnglish"":""I am a student.""}"
"speakingPrompt","{""ai"":""Спросите про учителя."",""aiEnglish"":""Ask about the teacher."",""expected"":""Где учитель?"",""expectedEnglish"":""Where is the teacher?""}"
"speakingPrompt","{""ai"":""Скажите, что у вас урок."",""aiEnglish"":""Say you have a lesson."",""expected"":""У меня урок."",""expectedEnglish"":""I have a lesson.""}"
"quizQuestion","{""question"":""What does \""школа\"" mean?"",""options"":[""school"",""teacher"",""lesson"",""book""],""correct"":0}"
"quizQuestion","{""question"":""What is \""учитель\""?"",""options"":[""teacher"",""student"",""school"",""book""],""correct"":0}"
"quizQuestion","{""question"":""Where do you study?"",""options"":[""в школе"",""в банке"",""в кафе"",""в аптеке""],""correct"":0}"
