"section","payload_json"
"metadata","{""title"":""At the Post Office"",""description"":""Sending packages and buying stamps.""}"
"vocabulary","{""local"": ""pismo"", ""english"": ""letter""}"
"vocabulary","{""local"": ""paket"", ""english"": ""package""}"
"vocabulary","{""local"": ""marka"", ""english"": ""stamp""}"
"vocabulary","{""local"": ""adresa"", ""english"": ""address""}"
"vocabulary","{""local"": ""isporuka"", ""english"": ""delivery""}"
"vocabulary","{""local"": ""preporu\u010deno"", ""english"": ""registered""}"
"keySentence","{""local"": ""\u017delim da po\u0161aljem pismo."", ""english"": ""I want to send a letter."", ""answerLocal"": ""Unutar zemlje ili inostranstvo?"", ""answerEnglish"": ""Domestic or international?""}"
"keySentence","{""local"": ""Koliko ko\u0161ta marka?"", ""english"": ""How much does a stamp cost?"", ""answerLocal"": ""Marka ko\u0161ta dvadeset dinara."", ""answerEnglish"": ""A stamp costs twenty dinars.""}"
"keySentence","{""local"": ""Mogu li pratiti paket?"", ""english"": ""Can I track the package?"", ""answerLocal"": ""Da, potreban je broj po\u0161iljke."", ""answerEnglish"": ""Yes, a tracking number is needed.""}"
"keySentence","{""local"": ""Gde pi\u0161em adresu?"", ""english"": ""Where do I write the address?"", ""answerLocal"": ""Na prednju stranu koverte."", ""answerEnglish"": ""On the front of the envelope.""}"
"keySentence","{""local"": ""Koliko traje isporuka?"", ""english"": ""How long does delivery take?"", ""answerLocal"": ""Tri do pet radnih dana."", ""answerEnglish"": ""Three to five business days.""}"
"keySentence","{""local"": ""Ho\u0107u preporu\u010deno slanje."", ""english"": ""I want registered mail."", ""answerLocal"": ""U redu, potpi\u0161ite ovde."", ""answerEnglish"": ""Alright, sign here.""}"
"dialogue","{""speaker"": ""Clerk"", ""local"": ""Slede\u0107i, molim. Kako mogu da vam pomognem?"", ""english"": ""Next, please. How can I help you?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""\u017delim da po\u0161aljem paket u inostranstvo."", ""english"": ""I want to send a package abroad.""}"
"dialogue","{""speaker"": ""Clerk"", ""local"": ""Popunite ovaj formular."", ""english"": ""Fill out this form.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Koliko traje isporuka?"", ""english"": ""How long does delivery take?""}"
"dialogue","{""speaker"": ""Clerk"", ""local"": ""Pet do sedam radnih dana."", ""english"": ""Five to seven business days.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Mo\u017ee li preporu\u010deno?"", ""english"": ""Can it be registered?""}"
"listening","{""prompt"": ""\u0160ta \u0161aljete?"", ""promptEnglish"": ""What are you sending?"", ""options"": [{""local"": ""Paket u inostranstvo."", ""english"": ""A package abroad.""}, {""local"": ""Ni\u0161ta."", ""english"": ""Nothing.""}, {""local"": ""Novac."", ""english"": ""Money.""}], ""correct"": 0}"
"listening","{""prompt"": ""Koliko traje isporuka?"", ""promptEnglish"": ""How long does delivery take?"", ""options"": [{""local"": ""Tri do pet dana."", ""english"": ""Three to five days.""}, {""local"": ""Odmah."", ""english"": ""Right away.""}, {""local"": ""Mesec dana."", ""english"": ""A month.""}], ""correct"": 0}"
"listening","{""prompt"": ""Imate li broj po\u0161iljke?"", ""promptEnglish"": ""Do you have a tracking number?"", ""options"": [{""local"": ""Da, evo ga."", ""english"": ""Yes, here it is.""}, {""local"": ""Nemam."", ""english"": ""I don't have it.""}, {""local"": ""\u0160ta je to?"", ""english"": ""What is that?""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Dobrodo\u0161li. \u0160ta \u0161aljete?"", ""aiEnglish"": ""Welcome. What are you sending?"", ""expected"": ""\u017delim da po\u0161aljem pismo."", ""expectedEnglish"": ""I want to send a letter.""}"
"speakingPrompt","{""ai"": ""Kako biste pitali za cenu marke?"", ""aiEnglish"": ""How would you ask about the stamp price?"", ""expected"": ""Koliko ko\u0161ta marka?"", ""expectedEnglish"": ""How much does a stamp cost?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili preporu\u010deno slanje?"", ""aiEnglish"": ""How would you request registered mail?"", ""expected"": ""Ho\u0107u preporu\u010deno slanje."", ""expectedEnglish"": ""I want registered mail.""}"
"quizQuestion","{""question"": ""What does \""pismo\"" mean?"", ""options"": [""package"", ""stamp"", ""letter"", ""address""], ""correct"": 2}"
"quizQuestion","{""question"": ""Choose the best meaning for \""marka\""."", ""options"": [""letter"", ""stamp"", ""delivery"", ""package""], ""correct"": 1}"
"quizQuestion","{""question"": ""A correct response to 'How long does delivery take?' is:"", ""options"": [""Three to five business days."", ""Right away."", ""A month.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'I want to send a package'?"", ""options"": [""\u017delim da po\u0161aljem paket."", ""Koliko ko\u0161ta marka?"", ""Gde pi\u0161em adresu?"", ""Mogu li pratiti paket?""], ""correct"": 0}"
