"section","payload_json"
"metadata","{""title"":""At a Café"",""description"":""Ordering drinks and snacks.""}"
"vocabulary","{""local"": ""kafa"", ""english"": ""coffee""}"
"vocabulary","{""local"": ""\u010daj"", ""english"": ""tea""}"
"vocabulary","{""local"": ""sok"", ""english"": ""juice""}"
"vocabulary","{""local"": ""kola\u010d"", ""english"": ""cake""}"
"vocabulary","{""local"": ""\u0161e\u0107er"", ""english"": ""sugar""}"
"vocabulary","{""local"": ""ra\u010dun"", ""english"": ""bill""}"
"keySentence","{""local"": ""Mogu li dobiti kafu, molim?"", ""english"": ""Can I get a coffee, please?"", ""answerLocal"": ""Naravno, kakvu kafu \u017eelite?"", ""answerEnglish"": ""Of course, what kind of coffee would you like?""}"
"keySentence","{""local"": ""Da li imate \u010daj?"", ""english"": ""Do you have tea?"", ""answerLocal"": ""Da, imamo zeleni i crni \u010daj."", ""answerEnglish"": ""Yes, we have green and black tea.""}"
"keySentence","{""local"": ""Koliko ko\u0161ta kola\u010d?"", ""english"": ""How much does the cake cost?"", ""answerLocal"": ""Kola\u010d ko\u0161ta dvesta dinara."", ""answerEnglish"": ""The cake costs two hundred dinars.""}"
"keySentence","{""local"": ""Mogu li dobiti ra\u010dun?"", ""english"": ""Can I get the bill?"", ""answerLocal"": ""Da, odmah donosim."", ""answerEnglish"": ""Yes, I will bring it right away.""}"
"keySentence","{""local"": ""Bez \u0161e\u0107era, molim."", ""english"": ""Without sugar, please."", ""answerLocal"": ""U redu, bez \u0161e\u0107era."", ""answerEnglish"": ""Okay, without sugar.""}"
"keySentence","{""local"": ""Da li je sok sve\u017e?"", ""english"": ""Is the juice fresh?"", ""answerLocal"": ""Da, ce\u0111en je ujutru."", ""answerEnglish"": ""Yes, it was squeezed this morning.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Dobrodo\u0161li. \u0160ta biste \u017eeljeli?"", ""english"": ""Welcome. What would you like?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Mogu li dobiti kafu i kola\u010d?"", ""english"": ""Can I get a coffee and a cake?""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Naravno. Kakvu kafu?"", ""english"": ""Of course. What kind of coffee?""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Espreso, bez \u0161e\u0107era, molim."", ""english"": ""Espresso, without sugar, please.""}"
"dialogue","{""speaker"": ""Staff"", ""local"": ""Odmah donosim."", ""english"": ""I will bring it right away.""}"
"dialogue","{""speaker"": ""You"", ""local"": ""Hvala. I ra\u010dun kada budete imali prilike."", ""english"": ""Thank you. And the bill when you get a chance.""}"
"listening","{""prompt"": ""\u0160ta biste \u017eeljeli?"", ""promptEnglish"": ""What would you like?"", ""options"": [{""local"": ""Kafu i kola\u010d."", ""english"": ""Coffee and cake.""}, {""local"": ""Ni\u0161ta, hvala."", ""english"": ""Nothing, thank you.""}, {""local"": ""Samo vodu."", ""english"": ""Just water.""}], ""correct"": 0}"
"listening","{""prompt"": ""Imate li \u010daj?"", ""promptEnglish"": ""Do you have tea?"", ""options"": [{""local"": ""Da, imamo zeleni i crni."", ""english"": ""Yes, we have green and black.""}, {""local"": ""Nemamo \u010daj."", ""english"": ""We don't have tea.""}, {""local"": ""Samo kafe."", ""english"": ""Only coffee.""}], ""correct"": 0}"
"listening","{""prompt"": ""Mo\u017ee li ra\u010dun?"", ""promptEnglish"": ""Can I have the bill?"", ""options"": [{""local"": ""Da, odmah."", ""english"": ""Yes, right away.""}, {""local"": ""\u010cekajte malo."", ""english"": ""Wait a moment.""}, {""local"": ""Platite na kasi."", ""english"": ""Pay at the register.""}], ""correct"": 0}"
"speakingPrompt","{""ai"": ""Zdravo! \u0160ta biste naru\u010dili?"", ""aiEnglish"": ""Hello! What would you order?"", ""expected"": ""Mogu li dobiti kafu, molim?"", ""expectedEnglish"": ""Can I get a coffee, please?""}"
"speakingPrompt","{""ai"": ""Kako biste tra\u017eili ra\u010dun?"", ""aiEnglish"": ""How would you ask for the bill?"", ""expected"": ""Mogu li dobiti ra\u010dun?"", ""expectedEnglish"": ""Can I get the bill?""}"
"speakingPrompt","{""ai"": ""Kako biste naru\u010dili bez \u0161e\u0107era?"", ""aiEnglish"": ""How would you order without sugar?"", ""expected"": ""Bez \u0161e\u0107era, molim."", ""expectedEnglish"": ""Without sugar, please.""}"
"quizQuestion","{""question"": ""What does \""kafa\"" mean?"", ""options"": [""tea"", ""juice"", ""coffee"", ""cake""], ""correct"": 2}"
"quizQuestion","{""question"": ""Choose the best meaning for \""ra\u010dun\""."", ""options"": [""sugar"", ""bill"", ""juice"", ""cake""], ""correct"": 1}"
"quizQuestion","{""question"": ""A correct response to \""Do you have tea?\"" is:"", ""options"": [""Yes, we have green and black tea."", ""We don't have tea."", ""Only coffee.""], ""correct"": 0}"
"quizQuestion","{""question"": ""Which phrase means 'without sugar'?"", ""options"": [""Bez \u0161e\u0107era, molim."", ""Mogu li dobiti ra\u010dun?"", ""Da li je sok sve\u017e?"", ""Koliko ko\u0161ta kola\u010d?""], ""correct"": 0}"
